Term,Arabic,Description
Abandon,إلغاء / تخلي,زر الانسحاب من التحدي أو المكافأة
Accept,قبول,زر تأكيد المهمة
Alchemy Table,طاولة الكيمياء,مكان لصنع الجرع
Anvil,سندان,يستخدم للحدادة والترقية
Archer,الرامي,فئة مقاتل - أقواس وهجوم عن بعد
Armor,الدرع,قيمة الحماية وتقليل الضرر الجسدي
Ascetic,الزاهد,فئة مقاتل - فنون ننشاكو قتالية
Assassin,القاتل المأجور,فئة مقاتل - خناجر وتخفٍ
Attack Speed,سرعة الهجوم,سرعة توجيه الضربات
Backstab,طعنة خلفية,ضربة مباغتة مميتة من ظهر العدو
Balak Taw,بالاك تاو,شخصية في اللعبة
Barbarian,البربري,فئة مقاتل - هراوات ضخمة وقوة بدنية خام
Baron Winnick,البارون وينيك,القائد العسكري لساكرامنت والساعد الأيمن لإلسورث
Beggar's Alley,زقاق المتسولين,الحي الفقير والمعدم داخل ساكرامنت
Berserker,الهائج,فئة مقاتل - فؤوس عظيمة وهجوم مستمر
Bilsgard's Quarry,مقلع بيلسغارد,منطقة استخراج الأحجار والمناجم
Birch Wood,خشب البتولا,أخشاب للصناعة والبناء
Blademaster,سيد السيوف,فئة مقاتل - سيوف منحنية
Bleed,نزيف,ضرر ينقص الصحة تدريجياً
Bleeding,ينزف,ضرر ينقص الصحة تدريجياً
Block,الصد,الدفاع بالترس أو السلاح
Bolein Knights,فرسان بولين,فرسان مقاطعة بولين المرابطون عند بوابة الجبل
Bounties,مكافآت الصيد,مهام صيد الوحوش والأهداف
Bounty,مكافأة صيد,مهمة صيد تعطي مكافأة
Bow,قوس,سلاح هجوم عن بعد
Brute,العنيف,فئة مقاتل - شجار بالهراوات والمراوغة
Buff,تعزيز / أثر إيجابي,زيادة مؤقتة في القدرات
Bulky,ضخم,زيادة الدرع مع نقص سرعة الصمود
Burn,احتراق,ضرر ناري مستمر
Burning,مشتعل,ضرر ناري مستمر
Caylen,كايلن,المدينة الواقعة خلف بوابة الجبل
Cerim,السيريم,جماعة المحاربين الأسطوريين المقدسين (البطل أحدهم)
Cerim Crucible,بوتقة السيريم,منطقة التحديات العميقة في العالم السفلي
Cerim Ichor,إيكور السيريم,مادة سائلة مقدسة تُستخدم لترقية قدرات السيريم ومخزونه
Challenge,تحدي,مهمة تحدي
Challenges,التحديات,أهداف ومهام فرعية متنوعة
Chill,قشعريرة,إبطاء الحركة وسرعة الهجوم
Chilled,مبرّد,إبطاء الحركة وسرعة الهجوم
Church,الكنيسة,الكنيسة الكبرى الحاكمة روحياً
Clay,طين / صلصال,مادة بناء
Cleric,الكاهن,فئة مقاتل - معجزات ودعم مقدس
Contortionist,بهلواني,فئة لاعب
Copper Ingot,سبيكة نحاس,مادة حدادة
Copper Ore,خام نحاس,مادة تعدين
Craft,صناعة,تصنيع عنصر جديد
Critical Chance,فرصة الضربة الحرجة,نسبة احتمالية حدوث ضربة مضاعفة
Critical Damage,ضرر الضربة الحرجة,قيمة الضرر الإضافي للضربة الحرجة
Crucible Atrium,بهو البوتقة,المدخل الرئيسي لبوتقة السيريم
Crusader,الصليبي,فئة مقاتل - مطارق عظيمة وسحر مقدس
Curved Sword,سيف منحنٍ,سيف سريع
Cutthroat,قاطع الطرق,فئة مقاتل - سيوف خفيفة وسريعة
Dagger,خنجر,سلاح طعن سريع
Damage,الضرر,مقدار الإصابة الناتجة عن الهجوم
Darak,داراك,زعيم حرب متمردي الناهضين
Dasha,داشا,شخصية
Debuff,إضعاف / أثر سلبي,نقص مؤقت في القدرات
Dense,كثيف,زيادة الدرع مع زيادة الوزن
Dexterity,البراعة,سمة الأسلحة الخفيفة والسريعة
Dodge,تفادٍ,حركة الهروب من ضربات الخصم
Dragoon,الفارس التنين,فئة مقاتل - رماح وقفزات قتالية
Durability,المتانة,عمر السلاح أو الدرع قبل أن ينكسر
Durable,متين,زيادة كبيرة في متانة العنصر
Eileen,إيلين,باحثة عن أخيها المفقود (مهمة جانبية)
Eleanor,إليانور,الساحرة وصانعة الرونات في ساكرامنت
Electrocuted,مصعوق,ضرر كهربائي وتشتت التركيز
Enchant,يسحر,إضافة سحر للعتاد
Enchanting,السحر / التعزيز السحري,إضافة تأثيرات وسمات عشوائية للعتاد
Equip Load,حمولة العتاد,وزن الدروع والأسلحة المجهزة وتأثيرها على الحركة
Exalt,يُمجّد,ترقية نادرة للعتاد
Exorcist,طارد الأرواح,فئة مقاتل - تطهير وطرد الأرواح
Faith,الإيمان,سمة القدرات والمعجزات المقدسة
Fallen Ember,جمر الساقطين,مادة سحرية لترقية العتاد وفتح البوتقة
Fallen Embers,جمر الساقطين,مادة سحرية لترقية العتاد وفتح البوتقة
Fast Roll,تدحرج سريع,مراوغة خفيفة وسريعة
Fast Travel,السفر السريع,الانتقال اللحظي بين الهمسات المكتشفة
Fencer,المبارز,فئة مقاتل - طعنات شيش دقيقة
Fillmore,فيلمور,الحداد المسؤول عن صهر الأسلحة والدروع وإصلاحها
Finley,فينلي,تاجر السوق السوداء المحبوس في البرج
Flagellant,الجلاد النادم,فئة مقاتل - قتال تضحوي تكفيري
Focus,التركيز,شريط الطاقة الأزرق المستخدم لحركات ورونات القوة
Fort Reach,حصن ريتش,المعسكر الذي استقرت فيه محاكم التفتيش
Freeze,تجميد,شلل حركي مؤقت نتيجة الجليد
Frost Mage,ساحر الصقيع,فئة مقاتل - سحر جليدي وتجميد
Frozen,متجمد,شلل حركي مؤقت نتيجة الجليد
Gems,أحجار كريمة / جواهر,تُركب في تجاويف العتاد لزيادة خصائصه
Gordon,غوردون,الطاهي وبائع المؤن والوجبات
Governor Ellsworth,الحاكم إلسورث,حاكم مدينة ساكرامنت وشقيق الملك الراحل
Greataxe,فأس عظيمة,فأس ضخمة ثنائية المقبض
Greathammer,مطرقة عظيمة,مطرقة حربية ساحقة
Greatsword,سيف عظيم,سلاح ثقيل يحمل باليدين
Guardian,الحارس,فئة مقاتل - دروع وسيوف متوازنة
HUD,شاشة اللعب,عناصر الواجهة أثناء القتال والتجوال
Handed Weapon,سلاح يد,تصنيف الأسلحة (بيد واحدة أو اثنتين)
Harbinger,النذير,فئة مقاتل - مناجل وسحر مظلم
Havenport,هافن بورت,مدينة خارج الجزيرة
Health,الصحة,شريط الحياة الأحمر
Heavy Roll,تدحرج ثقيل,مراوغة ثقيلة وبطيئة
Herbs,أعشاب,نباتات تجمع من البرية للطبخ والجرعات
Hunters Vale,وادي الصيادين,منطقة صيد مأهولة بالوحوش
Indestructible,لا ينكسر / منيع,عتاد لا يفقد متانته أبداً
Infusion,شحن عنصري,تزويد السلاح بطاقة عنصرية (نار، كهرباء...)
Inquisition,محاكم التفتيش,محاكم التفتيش التابعة للكنيسة
Intelligence,الذكاء,سمة تعاويذ وعصي السحر
Inventory,الحقيبة / المخزون,قائمة العناصر والأدوات
Iron Ingot,سبيكة حديد,مادة حدادة متقدمة
Iron Ore,خام حديد,مادة تعدين متقدمة
Isola Sacra,إيسولا ساكرا,الجزيرة المنكوبة التي تجري عليها أحداث اللعبة
Journal,السجل / اليوميات,قائمة المهام وقصة الرحلة
Keen,حاد,زيادة فرصة الضربة الحرجة
King Harol,الملك هارول,الملك المتوفى مؤخراً
King Magnus,الملك ماغنوس,الملك الشاب المغرور الذي تولى العرش بعد أبيه
Knight,الفارس,فئة مقاتل - دروع ثقيلة وسيوف عظيمة
Knockback,دفع للخلف,إرجاع العدو للخلف بقوة الضربة
Lowland Meadows,المروج المنخفضة,الأراضي العشبية
Madrigal,المادريغال,رتبة دينية وقيادية عليا في محاكم التفتيش
Madrigal Seline,المادريغال سيلين,قائدة محاكم التفتيش المبعوثة من الكنيسة
Maker Danos,الصانع دانوس,البنّاء المسؤول عن مشاريع وتوسعة المدينة
Marauder,المغير,فئة مقاتل - فؤوس هجومية مركبة
Marin Village,قرية مارين,القرية المهجورة في الغابات
Marin Woods,غابات مارين,الغابات الكثيفة
Mariner's Keep,معقل البحارة,الحصن الساحلي الذي تبدأ فيه المغامرة بعد الغرق
Marketplace,السوق,ساحة التجارة وسط ساكرامنت
Marksman,قناص,فئة لاعب
Meals,وجبات,أطعمة مطهوة لاستعادة الصحة
Mira & Meri,ميرا وميري,الأختان الخياطتان في متجر الأقمشة والدروع الخفيفة
Monk,راهب,فئة لاعب
Mountain Gate,بوابة الجبل,البوابة الشمالية الضخمة الفاصلة بين المناطق
Mystic,صوفي,فئة لاعب
Nameless Pass,الممر المجهول,الممر الجبلي الخطر
Necromancer,مستحضر الأرواح,فئة لاعب
Nimble,رشيق,تقليل استهلاك طاقة الجهد مع خفض التركيز
No Rest for the Wicked,لا راحة للأشرار,اسم اللعبة الرسمي
Normal Roll,تدحرج عادي,مراوغة متوسطة السرعة
Odessa,أوديسا,ابنة الحاكم إلسورث، تمردت وانضمت للناهضين
Orban Glades,مروج أوربان,الغابات والمروج المحيطة بساكرامنت
Paladin,فارس مقدس,فئة لاعب
Parry,الصد المتقن (باري),مباغتة الخصم وصده في اللحظة الأخيرة لكسر هجومه
Pestilence,الوباء,المصطلح القصصي الرئيسي للوباء
Phalen,فالن,عاصمة المملكة الكبرى خارج الجزيرة
Phalen Cathedral,كاتدرائية فالن,الكاتدرائية المقدسة
Pilgrim,حاج,فئة لاعب
Pin to HUD Log,تثبيت في واجهة اللعب,تثبيت المهمة على جانب الشاشة
Pine Wood,خشب الصنوبر,أخشاب للصناعة والبناء
Plaguebearer,حامل الوباء,فئة لاعب
Plagued,موبوء,مصاب بالوباء ويفقد قواه بالتدريج
Poise,الصمود / التوازن,مقاومة السقوط والترنح عند تلقي الضربات
Potions,جرعات,قوارير سحرية وعلاجية
Primus Bainbridge,القائد بينبريدج,قائد فرسان بولين عند بوابة الجبل
Pyromancer,ساحر نار,فئة لاعب
Quick,سريع,زيادة سرعة الهجوم مع تقليل الضرر
Rattigan,راتيغان,أحد أفراد الناهضين المسجون في أقفاص ساكرامنت
Realm,العالم / النطاق,نطاق عالم اللعبة الذي ينشئه اللاعب ويتحرك فيه
Refine,تكرير / تنقية,تحويل الخامات إلى سبائك وألواح جاهزة
Repair,إصلاح,استعادة متانة العتاد المتضرر
Rest,استراحة,الراحة عند نقاط الهمس لملء الصحة واستعادة الوحوش
Ring,خاتم,مجوهرات تعطي تأثيرات سحرية
Rings,خواتم,مجوهرات تعطي تأثيرات سحرية
