Term,Arabic,Description
Inventory,الحقيبة / المخزون,قائمة العناصر والأدوات
Journal,السجل / اليوميات,قائمة المهام وقصة الرحلة
Bounties,مكافآت الصيد,مهام صيد الوحوش والأهداف
Challenges,التحديات,أهداف ومهام فرعية متنوعة
Fast Travel,السفر السريع,الانتقال اللحظي بين الهمسات المكتشفة
Accept,قبول,زر تأكيد المهمة
Abandon,إلغاء / تخلي,زر الانسحاب من التحدي أو المكافأة
Salvage,تفكيك,تكسير العتاد لاستخراج المواد الأولية
Refine,تكرير / تنقية,تحويل الخامات إلى سبائك وألواح جاهزة
Craft,صناعة,تصنيع عنصر جديد
Upgrade,ترقية,رفع مستوى أو رتبة السلاح/الدرع
Repair,إصلاح,استعادة متانة العتاد المتضرر
Rest,استراحة,الراحة عند نقاط الهمس لملء الصحة واستعادة الوحوش
HUD,شاشة اللعب,عناصر الواجهة أثناء القتال والتجوال
Pin to HUD Log,تثبيت في واجهة اللعب,تثبيت المهمة على جانب الشاشة
Show on Map,إظهار على الخريطة,تحديد موقع الهدف على الخريطة
