key,source,target
achievementAllSlotsMaxedDesc,Have every equipment slot filled and fully upgraded,شغل كل خانة معدات وقم بترقيتها بالكامل
achievementAllSlotsMaxedName,Peak Performance,ذروة الأداء
achievementAnimalFriendDesc,Pet an animal,دلل حيواناً أليفاً
achievementAnimalFriendName,Friend of Beasts,صديق الوحوش
achievementBackstabMasterDesc,Defeat 10 enemies with backstabs,اهزم 10 أعداء بطعنات في الظهر
achievementBackstabMasterName,Silent Killer,القاتل الصامت
achievementBuffMasterDesc,Have 7 buffs active at the same time,احصل على 7 تأثيرات إيجابية نشطة في نفس الوقت
achievementBuffMasterName,Overpowered,قوة مفرطة
achievementBuyHouseDesc,Purchase your first house,اشترِ منزلك الأول
achievementBuyHouseName,Homeowner,صاحب منزل
achievementCatchEveryFishDesc,Catch every type of fish,اصطد كل أنواع الأسماك
achievementCatchEveryFishName,Master Angler,صياد خبير
achievementCompleteBounties10Desc,Complete 10 bounties or challenges,أكمل 10 مكافآت الصيد أو التحديات
achievementCompleteBounties10Name,Bounty Hunter,صائد مكافآت الصيد
achievementCompleteBounties30Desc,Complete 30 bounties or challenges,أكمل 30 مكافآت الصيد أو التحديات
achievementCompleteBounties30Name,Professional Bounty Hunter,صائد جوائز محترف
achievementCompleteDanosProjectsDesc,Complete all Danos projects,أكمل جميع مشاريع دانوس
achievementCompleteDanosProjectsName,Danos' Apprentice,متدرب دانوس
achievementCompleteMainStoryDesc,Complete the main story,أكمل القصة الرئيسية
achievementCompleteMainStoryName,Forsaken Champion,البطل المهجور
achievementCookFood10Desc,Cook 10 different types of food,اطبخ 10 أنواع مختلفة من الطعام
achievementCookFood10Name,Seasoned Cook,طباخ متمرس
achievementCookFood15Desc,Cook 15 different types of food,اطبخ 15 نوعاً مختلفاً من الطعام
achievementCookFood15Name,Master Chef,طاهٍ خبير
achievementCookFood5Desc,Cook 5 different types of food,اطبخ 5 أنواع مختلفة من الطعام
achievementCookFood5Name,Amateur Chef,طاهٍ هاوٍ
achievementCorruptedDefenderDesc,Hold back a Plagued Outbreak while affected by 8 corruptions,تصدَّ لتفشي موبوء بينما تتأثر بـ 8 فسادات
achievementCorruptedDefenderName,Corrupted Champion,البطل الفاسد
achievementCrucibleVictorDesc,Complete a crucible run or defeat the Echo Knight,أكمل جولة البوتقة أو اهزم فارس الصدى
achievementCrucibleVictorName,Crucible Victor,منتصر البوتقة
achievementDefeatAllPlagueBossesDesc,Defeat every plagued outbreak boss,اهزم كل زعماء تفشي موبوء
achievementDefeatAllPlagueBossesName,Plague Purger,مطهر الوباء
achievementDefeatCaretakerDesc,Defeat The Caretaker,اهزم القائم بالرعاية
achievementDefeatCaretakerName,No More Care,لا مزيد من الرعاية
achievementDefeatDarakDesc,Defeat Darak,اهزم داراك
achievementDefeatDarakName,Darak's End,نهاية داراك
achievementDefeatLostHuntressDesc,Defeat The Lost Huntress,اهزم الصيادة المفقودة
achievementDefeatLostHuntressName,Hunter Becomes Hunted,الصياد يصبح فريسة
achievementDefeatRivenTwinsDesc,Defeat The Riven Twins,اهزم التوائم الممزقة
achievementDefeatRivenTwinsName,Twin Shadows Fall,سقوط ظلال التوأم
