Term,Arabic,Description
Madrigal Seline,المادريغال سيلين,قائدة محاكم التفتيش المبعوثة من الكنيسة
Speaker Lucian,المتحدث لوسيان,المساعد المتشدد في محاكم التفتيش
Governor Ellsworth,الحاكم إلسورث,حاكم مدينة ساكرامنت وشقيق الملك الراحل
King Harol,الملك هارول,الملك المتوفى مؤخراً
King Magnus,الملك ماغنوس,الملك الشاب المغرور الذي تولى العرش بعد أبيه
Odessa,أوديسا,ابنة الحاكم إلسورث، تمردت وانضمت للناهضين
Baron Winnick,البارون وينيك,القائد العسكري لساكرامنت والساعد الأيمن لإلسورث
Darak,داراك,زعيم حرب متمردي الناهضين
Rattigan,راتيغان,أحد أفراد الناهضين المسجون في أقفاص ساكرامنت
The Watcher,المراقب,العجوز الحكيم في برج الحمام (The Rookery)
Roan,روان,خادم ومساعد المراقب
Eleanor,إليانور,الساحرة وصانعة الرونات في ساكرامنت
Maker Danos,الصانع دانوس,البنّاء المسؤول عن مشاريع وتوسعة المدينة
Fillmore,فيلمور,الحداد المسؤول عن صهر الأسلحة والدروع وإصلاحها
Gordon,غوردون,الطاهي وبائع المؤن والوجبات
Mira & Meri,ميرا وميري,الأختان الخياطتان في متجر الأقمشة والدروع الخفيفة
Whittacker,ويتكر,النجار والحطاب المسؤول عن الأثاث والخشب
Finley,فينلي,تاجر السوق السوداء المحبوس في البرج
Eileen,إيلين,باحثة عن أخيها المفقود (مهمة جانبية)
Primus Bainbridge,القائد بينبريدج,قائد فرسان بولين عند بوابة الجبل
