"key","source","target"
"NPCs.crucibleVendorSeneschal.firstInteractionLine1","There was an oath I took. A pact perhaps. Yes...","كان هناك قسمٌ أقسمته. ربما ميثاق. نعم..."
"NPCs.crucibleVendorSeneschal.firstInteractionLine2","But the hunger. How could I have known there’d be such hunger? ","ولكن هذا الجوع. كيف كان لي أن أعلم أنه سيكون جشعاً إلى هذا الحد؟"
"NPCs.crucibleVendorSeneschal.firstInteractionLine3","Please. Bring me the glow. The glimmer. The shine off their backs.","أرجوك. أحضر لي ذلك التوهج. ذلك البريق. ذلك اللمعان عن ظهورهم."
"NPCs.crucibleVendorSeneschal.firstInteractionLine4","And I will open every door.","وسأفتح كل باب."
"NPCs.crucibleVendorSeneschal.firstInteractionLine5","And I will open every door.","وسأفتح كل باب."
"NPCs.crucibleVendorSeneschal.killEchoKnight.interactionLine1","You Quiet Ones dug too deep. You asked too much of the world.","أنتم معشر الصامتين حفرتم عميقاً للغاية. طلبتم الكثير من هذا العالم."
"NPCs.crucibleVendorSeneschal.killEchoKnight.interactionLine2","But there is no answer. No bottom. No atonement.","لكن لا جواب. لا قاع. لا كفارة."
"NPCs.crucibleVendorSeneschal.killEchoKnight.interactionLine3","You struck down the Echo Knight. But are still here. Why?","صرعتَ فارس الصدى. ومع ذلك ما زلت هنا. لماذا؟"
"NPCs.crucibleVendorSeneschal.killEchoKnight.interactionLine4","Because you are the Echo Knight.","لأنك أنت هو فارس الصدى."
"NPCs.crucibleVendorSeneschal.killExecutioner.interactionLine1","I heard him fall. The Knight, by your stroke. And later I heard him rise again.","سمعتُ سقوطه. الفارس، بضربة منك. ثم سمعته ينهض مجدداً."
"NPCs.crucibleVendorSeneschal.killExecutioner.interactionLine2","You Quiet Ones were born for dying. But this pit steals away your true death.","أنتم معشر الصامتين خُلقتم لتموتوا. لكن هذه الهاوية تسلب منكم موتكم الحقيقي."
"NPCs.crucibleVendorSeneschal.killExecutioner.interactionLine3","What could remain but madness.","وما الذي يمكن أن يتبقى سوى الجنون."
"NPCs.crucibleVendorSeneschal.meetEchoKnight.interactionLine1","You have seen your champion, Quiet One. Your plague breaker. Was he beautiful?","لقد رأيت بطلكم، أيها الصامت. قاهر وبائكم. أكان جميلاً؟"
"NPCs.crucibleVendorSeneschal.meetEchoKnight.interactionLine2","Cyvion the Sayer’s Chosen. Trampler of the Dead. Warden of the Whispers. He who set the first stone in the Great Gate.","سيفيون، مختار الناطق. واطئ الأموات. حارس الهمسات. ذاك الذي وضع الحجر الأول في البوابة الكبرى."
"NPCs.crucibleVendorSeneschal.meetEchoKnight.interactionLine3","He is but a voice to me, from a throat long silenced. Still echoing off the stone.","ليس سوى صوت بالنسبة لي، يخرج من حنجرة أُسكتت منذ زمن. ولا يزال يتردد صداه على الحجر."
"NPCs.crucibleVendorSeneschal.meetExecutioner.interactionLine1","You met one. I smell it on you. A shade. A remnant. A Once Was.","لقد التقيت بأحدهم. أشم رائحته فيك. طيف. أثر باقٍ. كائنٌ كان يوماً ما."
"NPCs.crucibleVendorSeneschal.meetExecutioner.interactionLine2","Eldric, the Broken Vow, dressed in the dead. The first to drink the blackened blood and bend it to his will.","إلدريك، ناكث العهد، المتشح بالموتى. أول من تجرع الدم الأسود وأخضعه لإرادته."
"NPCs.crucibleVendorSeneschal.meetExecutioner.interactionLine3","He does not remember. Many here get lost. And then become lost. I remember for them... what I can.","هو لا يذكر. كثيرون هنا يضلون السبيل. ثم يصبحون ضائعين للأبد. وأنا أذكر بالنيابة عنهم... ما استطعت."
"NPCs.crucibleVendorSeneschal.menuTalk1","Was I a Quiet One once? Was this a bargain I made? For what, I wonder...","أكنتُ أحد الصامتين يوماً ما؟ أكان هذا ميثاقاً أبرمته؟ ولأجل ماذا، يا ترى..."
"NPCs.crucibleVendorSeneschal.menuTalk2","So long since there was another. Perhaps that means we won. Or lost. Could it be both?","مضى وقت طويل مذ كان هنا شخص آخر. ربما يعني هذا أننا انتصرنا. أو خسرنا. أيمكن أن يكون كلاهما؟"
"NPCs.crucibleVendorSeneschal.menuTalk3","This is where I fit. One key, one lock, one purpose. What is yours?","هذا هو مكاني المناسب. مفتاح واحد، قفل واحد، غاية واحدة. فما هي غايتك أنت؟"
"NPCs.crucibleVendorSeneschal.respecChamber.interactionLine1","So. The Quiet One will see itself reborn...","إذن. الصامت سيرى نفسه يولد من جديد..."
"NPCs.crucibleVendorSeneschal.respecChamber.interactionLine2","I wonder what it will become.","أتساءل إلى ماذا سيؤول أمره."
"NPCs.crucibleVendorSeneschal.respecChamber.interactionLine3","I will see you again, in the darkness.","سألقاك مجدداً، في الظلام."
"NPCs.quests.aSmallMercy.eleanor.questKickoffEavesdropLine1","The Pestilence. It's already among us, Cerim.","الوباء... لقد بات بيننا بالفعل يا سيريم."
"NPCs.quests.aSmallMercy.eleanor.questKickoffInteractionLine2","I knew with the Pestilence returned, it wouldn't be long before your kind did as well. ","علمتُ أنه مع عودة الوباء، لن يمر وقت طويل قبل أن يعود بنو جنسك أيضاً."
"NPCs.quests.aSmallMercy.eleanor.questKickoffInteractionLine3","But I fear the plague has already crept within Sacrament’s walls. ","لكنني أخشى أن الطاعون قد تسلل بالفعل إلى ما وراء أسوار ساكرامنت."
"NPCs.quests.aSmallMercy.eleanor.questKickoffInteractionLine4","Two days ago I offered a potent rune to a woman who said her husband was ill. ","قبل يومين، قدمتُ رونية قوية لامرأة قالت إن زوجها مريض طريح الفراش."
"NPCs.quests.aSmallMercy.eleanor.questKickoffInteractionLine5","A small mercy, but I have not heard from them since, and I worry he was worse than she let on. ","رحمة بسيطة، لكنني لم أسمع عنهما أي خبر منذ ذلك الحين، وأخشى أن حالته كانت أسوأ بكثير مما أبدت."
"NPCs.quests.aSmallMercy.eleanor.questKickoffInteractionLine6","Please visit their home in Beggar’s Alley. You can find me at the marketplace after. ","أرجوك زر منزلهما في زقاق المتسولين، ويمكنك أن تجدني في السوق بعد ذلك."
"NPCs.quests.aSmallMercy.eleanor.questKickoffInteractionLine6alt","Please visit their home in Beggar’s Alley.","أرجوك زر منزلهما في زقاق المتسولين."
"NPCs.quests.aSmallMercy.eleanor.questKickoffInteractionLine7","The plague knows we are weakest when alone. But we are not alone, Cerim, not even you. ","يعلم الوباء أننا نكون في أضعف حالاتنا حين نكون فرادى. لكننا لسنا وحدنا يا سيريم، ولا حتى أنت."
"NPCs.quests.aSmallMercy.eleanor.questKickoffRetalkLine1","Visit their home near Beggar’s Alley - the one with the red door - and put my fears to rest. Or confirm them. ","زر منزلهما بالقرب من زقاق المتسولين - ذاك الذي يحمل باباً أحمر - وبدد مخاوفي، أو أكدها."
"NPCs.quests.aSmallMercy.eleanor.questReminderFirstInteractLine1","Have you checked on the house in Beggar’s Alley? I worry for their safety. And ours. ","هل تفقدت المنزل في زقاق المتسولين؟ يساورني قلق بالغ على سلامتهم، وسلامتنا جميعاً."
"NPCs.quests.aSmallMercy.eleanor.returnRuneInteractionLine1","So it was as I feared. Our stone walls mean nothing to the plague. ","إذن فقد صدقت مخاوفي. أسوارنا الحجرية لا تعني شيئاً أمام الطاعون."
"NPCs.quests.aSmallMercy.eleanor.returnRuneInteractionLine2","I… I didn’t even know their names. I never thought to ask. ","أنا... لم أكن أعرف حتى اسميهما. لم يخطر ببالي أن أسأل."
"NPCs.quests.aSmallMercy.eleanor.returnRuneInteractionLine3","I will look after the girl. We are, all of us, the children of those who survived. ","سأعتني بالصغيرة. فنحن جميعاً أبناء أولئك الذين كُتبت لهم النجاة."
"NPCs.quests.aSmallMercy.eleanor.returnRuneInteractionLine4","And the rune, I see you have it now. They are potent things, yet fickle. Each carries its own blessing. ","وأما الرونية، فأرى أنها معك الآن. إنها أشياء قوية، لكنها متقلبة، ولكل منها بركتها الخاصة."
"NPCs.quests.aSmallMercy.eleanor.runeHintInteractionLine1","Runes can be bonded to your weapon, or to your being itself. But removing them carries its own cost. ","يمكن ربط الرونات بسلاحك، أو بكيانك ذاته. لكن نزعها يتطلب ثمناً خاصاً به."
"NPCs.quests.aSmallMercy.eleanor.runeHintInteractionLine2","We are all soldiers now, in the one true war. The one my mother and her mother and hers spoke of in whispers. ","كلنا جنود الآن في الحرب الحقيقية الوحيدة، تلك التي همست بها أمي وأمها وأسلافها."
"NPCs.quests.aSmallMercy.eleanor.runeHintInteractionLine3","A door was opened a thousand years ago. Perhaps together we can close it. ","فُتح باب قبل ألف عام، ولعلنا معاً قادرون على إيصاده."
"NPCs.quests.aSmallMercy.eleanor.stallUpgradeFirstInteractLine1","She is quarrelsome. She has nightmares. And I do not know if she has the talent, nor the patience, to learn to enchant. ","إنها كثيرة الشجار، وتراودها الكوابيس. ولا أعلم إن كانت تملك الموهبة أو الصبر لتعلم السحر والتبريم."
"NPCs.quests.aSmallMercy.eleanor.stallUpgradeFirstInteractLine2","But still, the rise and fall of her chest when she sleeps…","ومع ذلك، فإن هبوط صدرها وعلوه حين تنام بسلام..."
"NPCs.quests.aSmallMercy.eleanor.stallUpgradeFirstInteractLine3","She can stay. As long as she wishes.","يمكنها البقاء هنا ما طاب لها ذلك."
"NPCs.quests.aSmallMercy.maeve.eavesdropLine1","They’ll be out soon…","سيخرجون قريباً..."
"NPCs.quests.aSmallMercy.maeve.interaction1Line1","They told me to wait out here. Is it supper time yet? I hope momma makes dumpling soup.","أخبروني أن أنتظر هنا في الخارج. أحان وقت العشاء؟ آمل أن تعد أمي حساء الزلابية."
"NPCs.quests.aSmallMercy.maeve.interaction2Line1","They gave me this. Said it would keep me safe. ","لقد أعطوني هذا، وقالوا إنه سيبقيني في أمان."
"NPCs.quests.aSmallMercy.maeve.interaction2Line2","You can take it back to Eleanor. I need to stay here. In case they wake up. ","يمكنك إعادته إلى إليانور. عليّ أن أبقى هنا، تحسباً لاستيقاظهم."
"NPCs.quests.aSmallMercy.maeve.retalk2Line1","I have to stay here. Do you think they’ll wake up soon? ","يجب أن أبقى هنا. أتظن أنهم سيستيقظون عما قريب؟"
"NPCs.quests.aSmallMercy.maeve.stallUpgradeLine1","Eleanor cooks me dumpling soup. It’s not the same as my mother’s. ","تطهو إليانور حساء الزلابية لأجلي. إنه ليس كحساء أمي تماماً."
"NPCs.quests.aSmallMercy.maeve.stallUpgradeLine2","But that’s alright. It doesn’t have to be. ","لكن لا بأس في ذلك، ليس من الضروري أن يكون مثله."
"NPCs.quests.aSmallMercy.maeve.stallUpgradeLine3","Do you think I’ll always remember the difference? ","أتظن أنني سأتذكر الفرق بينهما دائماً؟"
"NPCs.quests.aSmallMercy.maeve.stallUpgradeRetalkLine1","She says I need to control my bad dreams instead of let them control me. That even dreams can be weapons. ","تقول لي إنه يجب عليّ التحكم في كوابيسي بدلاً من تركها تتحكم بي، وأن الأحلام بحد ذاتها يمكن أن تكون أسلحة."
"NPCs.quests.aSmallMercy.maeve.stallUpgradeRetalkLine2","I like the sound of that. ","يعجبني سماع ذلك كثيراً."
"NPCs.quests.balakTaw.theGreatBeak.interact1Line1","……........?","……........؟"
"NPCs.quests.balakTaw.theGreatBeak.interact2Line1","……................?","……................؟"
"NPCs.quests.balakTaw.theGreatBeak.line01","……........?","……........؟"
"NPCs.quests.balakTaw.theGreatBeak.line03","…....…........?","…....…........؟"
"NPCs.quests.balakTaw.theGreatBeak.line04","….....?","….....؟"
"NPCs.quests.balakTaw.theGreatBeak.retalkLine1","……....................?","……....................؟"
"NPCs.quests.balakTaw.theGreatBeak.returnInteract1Line1","……............?","……............؟"
"NPCs.quests.balakTaw.theGreatBeak.returnInteract1Line2","……....................?","……....................؟"
"NPCs.quests.balakTaw.theGreatBeak.returnRetalkLine1","......?","......؟"
"NPCs.quests.balakTaw.theGreatBeak.returnVignette","……............?","……............؟"
"NPCs.quests.faithAndFlame.avalancheInquisitor.interact1line1","Next to God's will, the stone is weak as clay.","أمام مشيئة الإله، يغدو الحجر هشاً كالصلصال."
"NPCs.quests.faithAndFlame.avalancheInquisitor.interact1line2","See how it crumbles.","انظر كيف يتفتت ويتداعى."
"NPCs.quests.faithAndFlame.avalancheInquisitor.interact1line3","It has no strength, because it has no conviction.","لا قوة له، لأنه يفتقر إلى اليقين والإيمان."
"NPCs.quests.faithAndFlame.avalancheInquisitor.retalk","Soon the mountain will follow. Deliverance is an avalanche.","قريباً سيلحق الجبل به. فالخلاص انهيار جارف لا يُرد."
"NPCs.quests.faithAndFlame.desertersEncounter.alerted.line1","Look out - someone’s coming!","احذر - هناك من يقترب!"
"NPCs.quests.faithAndFlame.desertersEncounter.alerted.line2","I won’t go back!","لن أعود أدراجي أبداً!"
"NPCs.quests.faithAndFlame.desertersEncounter.eavesdrop.line1","Once in Sacrament, we pawn our armor and catch the first ship off this wretched isle.","ما إن نصل إلى ساكرامنت، حتى نرهن دروعنا ونستقل أول سفينة تغادر هذه الجزيرة البائسة."
"NPCs.quests.faithAndFlame.desertersEncounter.eavesdrop.line2","That simple, eh?","بهذه البساطة، هاه؟"
"NPCs.quests.faithAndFlame.desertersEncounter.eavesdrop.line3","Hard part’s already done.","الجزء الأصعب قد أنجزناه بالفعل."
"NPCs.quests.faithAndFlame.inquisitorsJointInteract.interactLine1","You do not belong here, Unspoken.","أنت لا تنتمي إلى هنا، أيها الصامت."
"NPCs.quests.faithAndFlame.inquisitorsJointInteract.interactLine2","Nor do you deserve to bear witness to the fall of the Heretic’s Gate.","ولا تستحق حتى أن تشهد سقوط بوابة المهرطقين."
"NPCs.quests.faithAndFlame.inquisitorsJointInteract.interactLine3","It is but a relic, dead on its feet. Like you.","ما هي إلا أطلال بالية، تحتضر وهي واقفة. تماماً مثلك."
"NPCs.quests.faithAndFlame.inquisitorsJointInteract.retalkLine1","Bainbridge was unworthy of God’s Embrace.","لم يكن بينبريدج جديراً بعناق الإله ورعايته."
"NPCs.quests.faithAndFlame.inquisitorsJointInteract.retalkLine2","A quality perhaps you both share.","وهي خصلة ربما تشتركان فيها معاً."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier1.eavesdrop","The pass is shut.","الممر مغلق تماماً."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier1.retalkLine1","Entry to the pass is barred on order of the Madrigal.","الدخول إلى الممر محظور بأمر من المادريغال."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier10.interactLine1","The many-eyed God. The Dasha’s pagan four. Whatever it is you worship, Cerim - the Sayer I think it’s called?","الإله ذو العيون المتعددة، أو آلهة الدوشا الوثنية الأربعة، أو أياً كان ما تعبده يا سيريم - الناطق كما أظنه يُدعى؟"
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier10.interactLine2","All the same. Grown men playing make believe.","كلها سواء. مجرد رجال ناضجين يلعبون ألعاب التخيل والخرافة."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier10.interactLine3","The god I worship spans a half million leagues and two hundred islands. She’s called empire. ","الإلهة التي أعبدها تمتد عبر نصف مليون فرسخ ومائتي جزيرة. وتُدعى الإمبراطورية."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier10.retalkLine1","No glory but the might of men, and all monuments in her name.","لا مجد إلا لبطش الرجال، وكل الصروح تُشاد باسمها."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier2.eavesdrop","Move along.  For your own safety.","امضِ في طريقك. حفاظاً على سلامتك الشخصية."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier2.retalkLine1","Haven’t you heard? The Gate’s comin’ down. Best stay clear.","ألم تسمع؟ البوابة على وشك الانهيار. من الأفضل لك الابتعاد."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier3.eavesdrop","No outsiders permitted.","ممنوع دخول الغرباء."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier3.retalkLine1","Are you deaf? No entry til the holy city’s been freed from the stone.","أأنت أصم؟ لا دخول حتى تتحرر المدينة المقدسة من قبضة الحجر."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier4.eavesdrop","Lift’s for official use only. If you wanna pass, speak with Primus Bainbridge.","المصعد مخصص للاستخدام الرسمي فقط. إن كنت تريد العبور، فتحدث إلى القائد بينبريدج."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier4.retalkLine1","Take it up with Bainbridge, not me.","راجع بينبريدج في هذا الشأن، لست أنا المسؤول."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier5.eavesdrop","Bainbridge himself came down to secure the area. And to track down deserters.","نزل بينبريدج بنفسه لتأمين المنطقة وتعقب الفارين."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier5.retalkLine1","Don’t matter if you want in or want out - no one’s slipping his net.","لا يهم إن كنت تريد الدخول أو الخروج - لن يفلت أحد من شباكه."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier6.interactLine1","I’m a man of faith! Put copper in every one of God’s palms, and not just on my son’s naming day.","أنا رجل مؤمن! أضع النحاس في كفوف الإله كلها، وليس فقط في يوم تسمية ابني."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier6.interactLine2","But the Inquisition - I’m not sure I see my faith in them.","لكن محاكم التفتيش هذه - لست متأكداً من أنني أرى إيماني فيها."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier6.interactLine3","I suppose if God has hands, he has claws. If he has eyes, he has teeth.","أفترض أنه إن كان لله أيادٍ، فلا بد أن له مخالب. وإن كان له عيون، فله أنياب."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier6.retalkLine1","Make the hair stand up on my neck, they do. I’ll be glad to be back on the mainland soon. ","إنهم يقشعرون أبداني حقاً. سأكون سعيداً للغاية بالعودة إلى القارة قريباً."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier7.interactLine1","Inquisition serves the Church. Church serves the King. King serves God. ","محاكم التفتيش تخدم الكنيسة، والكنيسة تخدم الملك، والملك يخدم الإله."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier7.interactLine2","And somehow I end up working for all of ‘em.","وبطريقة ما ينتهي بي المطاف بالعمل لأجلهم جميعاً."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier7.retalkLine1","Whatever I pictured when I was crowned a knight of House Bolein - it wasn’t this.","مهما كان ما تخيلته يوم تُوجت فارساً في بيت بولين - فبالتأكيد لم يكن هذا."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier8.interactLine1","I’m no deserter. If there’s work to be done, I’ll see it through. ","لستُ بفارٍ من الجندية. إن كان ثمة عمل يجب إنجازه، فسأتمه حتى النهاية."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier8.interactLine2","But... I understand. Backwater job like this, far from home, farmed out to the Inquisition.","لكن... أنا أتفهم موقفهم. مهمة في بقعة نائية كهذه، بعيداً عن الديار، معارين لمحاكم التفتيش."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier8.interactLine3","Up to our ankles in shit, scratching at a big door. Know what’s on the other side? More shit.","غارقون حتى كواحلنا في القذارة، ونخربش على باب ضخم. أتعلم ما يكمن على الجانب الآخر؟ المزيد من القذارة."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier8.retalkLine1","Not one to complain, myself, of course. Just... sympathetic to the grievances of others.","لست ممن يتذمرون بطبيعة الحال، لكنني فقط... أتعاطف مع مظالم الآخرين."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier9.interactLine1","We knights parade about in our armor, flashing the broadsword in our scabbard, but have you seen the Madrigal?","نتبختر نحن الفرسان في دروعنا، ونتباهى بالسيوف العريضة في أغمادنا، لكن هل رأيت المادريغال؟"
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier9.interactLine2","That’s real power. She’s got King Magnus's ear, and God has hers. ","تلك هي القوة الحقيقية بعينها. إنها تحظى بمسامع الملك ماغنوس، والإله يستمع إليها."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier9.interactLine3","The weak always speak the loudest. While those in charge need barely whisper.","الضعفاء دائماً هم الأعلى صوتاً، بينما لا يحتاج أصحاب السلطة الحقيقيون سوى للهمس."
"NPCs.quests.faithAndFlame.optionalBoleinSoldiers.boleinSoldier9.retalkLine1","Magnus's Bolein army is more than 10,000 strong. But what’s that against the word of God.","جيش ماغنوس من فرسان بولين يتجاوز قوامه عشرة آلاف مقاتل، لكن ماذا يساوي كل ذلك أمام كلمة الإله؟"
"NPCs.quests.faithAndFlame.orvynEncounter.interactLine1","Well they’ve done it. They’ve finally done it.","حسناً، لقد فعلوها. فعلوها أخيراً."
"NPCs.quests.faithAndFlame.orvynEncounter.interactLine2","Survived floods and fires, foul abominations, not to mention the fickle winds of commerce. But Orvyn can only take so much.","نجوتُ من الفيضانات والحرائق، والوحوش البشعة، ناهيك عن تقلبات التجارة الغادرة. لكن لأورفين طاقة محدودة."
"NPCs.quests.faithAndFlame.orvynEncounter.interactLine3","Phalen’s “finest” have blocked the few roads that remain, save the lift just north of here.","«علية قوم» فالن سدوا الطرق القليلة المتبقية، باستثناء المصعد الواقع شمالاً من هنا مباشرة."
"NPCs.quests.faithAndFlame.orvynEncounter.interactLine4","And that damn pounding - can’t sleep, can’t eat without jangling my teeth. Shakes my turnips right out of the ground!","وهذا الدق اللعين - لا أستطيع النوم ولا الأكل دون أن تصطك أسناني. إنه يقتلع اللفت من أرضي!"
"NPCs.quests.faithAndFlame.orvynEncounter.interactLine5","Next time you’re here, stranger, I surely won’t be.","في المرة القادمة التي تأتي فيها إلى هنا، أيها الغريب، لن تجدني بكل تأكيد."
"NPCs.quests.faithAndFlame.orvynEncounter.retalkLine1","What’s that dwindling speck, sailing away on the horizon? It’s Orvyn.","أترى تلك النقطة الضئيلة المتلاشية وهي تبحر بعيداً في الأفق؟ إنه أورفين."
"NPCs.quests.faithAndFlame.primusAndInquisitors.line1","I am pleased to hear of the deserters' fate. I will inform the Madrigal.","يسرني سماع مصير الفارين. سأبلغ المادريغال بذلك."
"NPCs.quests.faithAndFlame.primusAndInquisitors.line10","Curse your God. The fire awaits us both.","اللعنة على إلهكم. النار بانتظارنا كلانا."
"NPCs.quests.faithAndFlame.primusAndInquisitors.line11","In time, yes.","مع الوقت، نعم."
"NPCs.quests.faithAndFlame.primusAndInquisitors.line12","The many hands.","الأيادي المتعددة."
"NPCs.quests.faithAndFlame.primusAndInquisitors.line13","The eye within.","العين الباطنة."
