"key","source","target"
"activities.npc.captainRandolph.bounties.generic.balakTawBounty.description","Grown men dressed in feathers, chirping and squawking at one another - it would be a joke if not for the sharpness of their spears. Bring these crazed Balak Taw back down to earth, Cerim.

<color=#89888b>Location:</color>","رجالٌ بالغون يرتدون الريش، يصيحون ويزقزقون فيما بينهم - كانت لتكون مزحة لولا حدّة رماحهم. أعد بالاك تاو المجانين هؤلاء إلى أرض الواقع، أيها السيريم.

<color=#89888b>الموقع:</color>"
"activities.npc.captainRandolph.bounties.generic.balakTawBounty.name","Of A Feather","طيور على أشكالها"
"activities.npc.captainRandolph.bounties.generic.bloatedMutantSoldierBounty.description","My men say they saw… well they can’t quite seem to describe it. A scurrying mass of flesh and limbs. But it had teeth. And a terrible hunger. That’s really all you need to know.

<color=#89888b>Location:</color>","يقول رجالي إنهم رأوا... حسناً، لا يبدو أنهم قادرون على وصفه بدقة. كتلة مسرعة من اللحم والأطراف. لكن كان لها أسنان، وجوع رهيب. هذا حقاً كل ما تحتاج إلى معرفته.

<color=#89888b>الموقع:</color>"
"activities.npc.captainRandolph.bounties.generic.bloatedMutantSoldierBounty.name","Abomination","المسخ البغيض"
"activities.npc.captainRandolph.bounties.generic.boarskinBounty.description","I take it you’ve heard stories of the Boarskin - feral, inbred pillagers claiming to be the true heirs to Sacrament? Well I wish they were only stories. Cut them down, Cerim - blood is the only language they understand.

<color=#89888b>Location:</color>","أفترض أنك سمعت قصص جلد الخنزير (البورسكن) - أولئك الناهبون المتوحشون الذين يزعمون أنهم الورثة الشرعيون لساكرامنت؟ حسناً، ليت الأمر كان مجرد قصص. اقضِ عليهم أيها السيريم - فالدم هو اللغة الوحيدة التي يفهمونها.

<color=#89888b>الموقع:</color>"
"activities.npc.captainRandolph.bounties.generic.boarskinBounty.name","When Pigs Fall","سقوط الخنازير"
"activities.npc.captainRandolph.bounties.generic.bruisersDuoBounty.description","It seems I finally learned what’s worse than an armored Risen bandit terrorizing our island. Two of them! Take down this pair of hulking brutes and you’ll earn my thanks. 

<color=#89888b>Location:</color>","يبدو أنني علمت أخيراً ما هو أسوأ من قاطع طريق مدرع من الناهضين يروع جزيرتنا. اثنان منهم! اقضِ على هذا الثنائي من الوحوش الضخمة وستنال شكري وامتناني.

<color=#89888b>الموقع:</color>"
"activities.npc.captainRandolph.bounties.generic.bruisersDuoBounty.name","A Savage Pair","ثنائي متوحش"
"activities.npc.captainRandolph.bounties.generic.crawlersBounty.description","Locals have reported Torn Crawlers burrowing out of the earth. They drag down wild animals when we’re lucky, people when we’re not. The Crawlers have already dug their grave - you just need to finish the job.

<color=#89888b>Location:</color>","أبلغ السكان المحليون عن زواحف ممزقة تخرج من باطن الأرض. تجر الحيوانات البرية حين نكون محظوظين، وتجر البشر حين لا نكون كذلك. لقد حفرت هذه الزواحف قبرها بالفعل - ما عليك سوى إنهاء المهمة.

<color=#89888b>الموقع:</color>"
"activities.npc.captainRandolph.bounties.generic.crawlersBounty.name","Dirty Work","عمل قذر"
"activities.npc.captainRandolph.bounties.generic.falseOnesBounty.description","Legends claim The False Ones are graverobbers foolish enough to put on Cerim armor and now cursed for eternity. I’ll leave the children’s stories, and the False Ones, to you.

<color=#89888b>Location:</color>","تزعم الأساطير أن الزائفين هم لصوص قبور بلغت بهم الحماقة ارتداء درع السيريم فحلّت عليهم اللعنة إلى الأبد. سأترك حكايات الأطفال، وأولئك الزائفين، لك.

<color=#89888b>الموقع:</color>"
"activities.npc.captainRandolph.bounties.generic.falseOnesBounty.name","Lost Truth","الحقيقة الضائعة"
"activities.npc.captainRandolph.bounties.generic.gangTrioBounty.description","I’ve received word - unlikely as it might sound - that the Knights of Knellap, the Huntsmen, and the Plague Doctors have convened a gathering in secret. I can think of only one common interest that would bring those three factions together - our ruin. Well if it’s union they seek, Cerim, unite them in death.

<color=#89888b>Location:</color>","وردتني أنباء - رغم غرابتها - تفيد بأن فرسان نيلاب، والصيادين، وأطباء الطاعون قد عقدوا اجتماعاً سرياً. لا يخطر ببالي سوى مصلحة مشتركة واحدة قد تجمع هذه الفصائل الثلاثة - هلاكنا. حسناً، إن كانوا يسعون للاتحاد أيها السيريم، فاجمع شملهم في الموت.

<color=#89888b>الموقع:</color>"
"activities.npc.captainRandolph.bounties.generic.gangTrioBounty.name","Deranged Council","مجلس المجانين"
"activities.npc.captainRandolph.bounties.generic.gloamBounty.description","They say there’s a bright light when you die. Maybe that’s just The Gloam, pulling you down into the dirt. Track down these plagued cave dwellers and snuff out their light for good.

<color=#89888b>Location:</color>","يقولون إن هناك ضوءاً ساطعاً تراه حين تموت. ربما ليس سوى دياجير الغسق تجرك إلى التراب. تعقب ساكني الكهوف الموبوئين هؤلاء وأخمد نورهم إلى الأبد.

<color=#89888b>الموقع:</color>"
"activities.npc.captainRandolph.bounties.generic.gloamBounty.name","Seen the Light","رؤية النور"
"activities.npc.captainRandolph.bounties.generic.goldenKnight.description","I've reports of a Golden Titan rampaging through the countryside. Some say it's a cursed graverobber, trapped within the very Cerim armor he tried to steal. But I don't care for rumors, only results.

<color=#89888b>Location:</color>","لديّ تقارير عن عملاق ذهبي يعيث فساداً في الريف. يقول البعض إنه سارق قبور ملعون، حُبس داخل درع السيريم ذاته الذي حاول سرقته. لكني لا أكترث للشائعات، بل بالنتائج فقط.

<color=#89888b>الموقع:</color>"
"activities.npc.captainRandolph.bounties.generic.goldenKnight.name","All That Glitters","ليس كل ما يلمع ذهباً"
"activities.npc.captainRandolph.bounties.generic.guardMutantSoldierBounty.description","One of my Guards was infected by the Pestilence. Poor bastard tried to hide it. Maybe if he'd told us sooner we could've cut off the limb. Now... it all has to go.

<color=#89888b>Location:</color>","أصيب أحد حراسي بالوباء. حاول المسكين إخفاء ذلك. ربما لو أخبرنا مبكراً لتمكنا من بتر طرفه. أما الآن... فيجب القضاء عليه بالكامل.

<color=#89888b>الموقع:</color>"
