"key","source","target"
"items.categories.alloy","Alloys","السبائك"
"items.categories.ammo","Ammo","الذخيرة"
"items.categories.amulet","Amulets","التمائم"
"items.categories.arkaneWeapon","Arkane Weapons","الأسلحة الغامضة"
"items.categories.armor","Armors","الدروع"
"items.categories.armorWard","Armor Wards","حمايات الدروع"
"items.categories.arrow","Arrows","السهام"
"items.categories.attackItem","Attack Items","عناصر الهجوم"
"items.categories.axe","Axe","فأس"
"items.categories.body","Body","درع الصدر"
"items.categories.bolt","Bolts","سهام النشاب"
"items.categories.bomb","Bombs","القنابل"
"items.categories.bow","Bows","الأقواس"
"items.categories.club","Club","هراوة"
"items.categories.component","Components","المكونات"
"items.categories.craftingTable","Crafting Table","طاولة التصنيع"
"items.categories.crossbow","Crossbow","القوس والنشاب"
"items.categories.curvedGreatSword","Curved Great Sword","سيف عظيم منحنٍ"
"items.categories.curvedSword","Curved Sword","سيف منحنٍ"
"items.categories.doubleDagger","Double Dagger","خنجر مزدوج"
"items.categories.elegantPlatter","Elegant Platters","أطباق فاخرة"
"items.categories.ember","Ember","الجمر"
"items.categories.enchantmentResource","Enchantment Resources","موارد السحر والتعزيز"
"items.categories.food","Food","الطعام"
"items.categories.foodBagSlots","Food Bag Slots","خانات حقيبة الطعام"
"items.categories.foodRecipe","Food Recipes","وصفات الطعام"
"items.categories.furniture","Furniture","الأثاث"
"items.categories.gloves","Gloves","القفازات"
"items.categories.greatAxe","Great Axe","فأس عظيمة"
"items.categories.greatClub","Great Club","هراوة عظيمة"
"items.categories.greatHammer","Great Hammer","مطرقة عظيمة"
"items.categories.greatSword","Great Sword","سيف عظيم"
"items.categories.halberd","Halberd","فأس ساطورية (هالبيرد)"
"items.categories.hammer","Hammer","مطرقة"
"items.categories.healing","Healing","العلاج"
"items.categories.helmet","Helmets","الخوذات"
"items.categories.hoe","Hoe","معزقة"
"items.categories.ingredient","Ingredients","المكونات"
"items.categories.itemPlan","Item Plans","مخططات العناصر"
"items.categories.katana","Katana","كاتانا"
"items.categories.key","Keys","المفاتيح"
"items.categories.knife","Knife","سكين"
"items.categories.mace","Mace","صولجان"
"items.categories.melee","Melee","قتال قريب"
"items.categories.money","Money","المال"
"items.categories.offHand","Off-Hands","عتاد اليد الثانوية"
"items.categories.oneHandedWeapon","One-Handed Weapons","أسلحة اليد الواحدة"
"items.categories.orb","Orbs","كرات سحرية"
"items.categories.other","Other","أخرى"
"items.categories.pants","Pants","السراويل"
"items.categories.pickaxe","Pickaxe","معول"
"items.categories.potion","Potions","الجرعات"
"items.categories.questItem","Quest Items","عناصر المهمات"
"items.categories.rangedWeapon","Ranged Weapons","أسلحة القتال عن بعد"
"items.categories.rapier","Rapier","سيف المبارزة (رابير)"
"items.categories.refinery","Refinery","معمل التكرير"
"items.categories.resource","Resources","الموارد"
"items.categories.ring","Rings","الخواتم"
"items.categories.rune","Rune","رون"
"items.categories.scepter","Scepter","صولجان حكم"
"items.categories.scythe","Scythe","منجل"
"items.categories.seed","Seeds","البذور"
"items.categories.shield","Shields","التروس"
"items.categories.shovel","Shovel","مجرفة"
"items.categories.simpleMeal","Simple Meals","وجبات بسيطة"
"items.categories.spear","Spear","رمح"
"items.categories.specialResource","Special Resources","موارد خاصة"
"items.categories.staff","Staves","عصي سحرية"
"items.categories.straightSword","Straight Sword","سيف مستقيم"
"items.categories.succulentFeast","Succulent Feasts","ولائم شهية"
"items.categories.tool","Tools","الأدوات"
"items.categories.totem","Totems","رموز طوطمية"
"items.categories.trap","Traps","الفخاخ"
"items.categories.trinkets","Trinkets","حلي وزينة"
"items.categories.twoHandedWeapon","Two-Handed Weapons","أسلحة اليدين"
"items.categories.wand","Wand","عصا سحرية قصيرة"
"items.categories.wateringCan","Watering Can","مرشة ماء"
"items.categories.weaponOil","Weapon Oils","زيوت الأسلحة"
"items.consumables.beverages.herbalBrews.bilgewaterCure.Description","Sailors swear by it. Everyone else just swears.","يقسم به البحارة، بينما يلعن الجميع سواه."
"items.consumables.beverages.herbalBrews.bilgewaterCure.Name","Bilgewater Cure","علاج مياه القعر"
"items.consumables.beverages.herbalBrews.dragonbarkBrew.Description","Resinous and sharp; clears the sinuses.","راتنجي وحاد؛ يُصفي الجيوب الأنفية."
"items.consumables.beverages.herbalBrews.dragonbarkBrew.Name","Dragonbark Brew","نقيع لحاء التنين"
"items.consumables.beverages.herbalBrews.greenveinDraught.Description","Smells of deep forest and old rain.","تفوح منها رائحة الغابة العميقة ومطر قديم."
"items.consumables.beverages.herbalBrews.greenveinDraught.Name","Greenvein Draught","جرعة العِرق الأخضر"
"items.consumables.beverages.herbalBrews.stoneleafTonic.Description","Tastes like licking a cave wall, but works.","مذاقه أشبه بلعق جدار كهف، لكنه يجدي نفعًا."
"items.consumables.beverages.herbalBrews.stoneleafTonic.Name","Stoneleaf Tonic","مقوي ورق الحجر"
"items.consumables.beverages.herbalBrews.twilightSteep.Description","Best brewed after sundown; some say it dreams.","يُفضل تخميره بعد الغروب؛ يقول البعض إنه يرى أحلامًا."
"items.consumables.beverages.herbalBrews.twilightSteep.Name","Twilight Steep","منقوع الشفق"
"items.consumables.beverages.herbalBrews.wanderersTea.Description","Bitter enough to keep you awake on the road.","مر بما يكفي لإبقائك يقظًا على الطريق."
"items.consumables.beverages.herbalBrews.wanderersTea.Name","Wanderer's Tea","شاي الرحالة"
"items.consumables.beverages.winesAndCiders.appleCider.Description","Cheap, sweet, and gets the job done.","رخيص، وحلو المذاق، ويفي بالغرض."
