Term,Arabic,Description
Isola Sacra,إيسولا ساكرا,الجزيرة ككل
Sacrament,ساكرامنت,العاصمة / المدينة المحصنة
Mariner's Keep,معقل البحارة,الحصن الساحلي الذي تبدأ فيه المغامرة بعد الغرق
Orban Glades,مروج أوربان,الغابات والمروج المحيطة بساكرامنت
Ship Graveyard,مقبرة السفن,شاطئ السفن المحطمة
Beggar's Alley,زقاق المتسولين,الحي الفقير والمعدم داخل ساكرامنت
The Black Trench,الخندق الأسود,مجاري وأنفاق الصرف العميقة تحت المدينة
Mountain Gate,بوابة الجبل,البوابة الشمالية الضخمة الفاصلة بين المناطق
Nameless Pass,الممر المجهول,الممر الجبلي الخطر
Bilsgard's Quarry,مقلع بيلسغارد,منطقة استخراج الأحجار والمناجم
Phalen,فالن,عاصمة المملكة الكبرى خارج الجزيرة
Phalen Cathedral,كاتدرائية فالن,الكاتدرائية المقدسة
Caylen,كايلن,المدينة الواقعة خلف بوابة الجبل
Fort Reach,حصن ريتش,المعسكر الذي استقرت فيه محاكم التفتيش
Lowland Meadows,المروج المنخفضة,الأراضي العشبية
Hunters Vale,وادي الصيادين,منطقة صيد مأهولة بالوحوش
Weeping Sisters,الأخوات الباكيات,تكوين صخري / كهفي أسطوري
Sylvan Hollow,الجوف الغابي,غابة كثيفة مظلمة
Marin Village,قرية مارين,القرية المهجورة في الغابات
Marin Woods,غابات مارين,الغابات الكثيفة
The Rookery,برج الحمام (الروكري),البرج المرتفع الذي يقيم فيه المراقب
War Room,غرفة الحرب,مقر قادة ساكرامنت العسكريين
The Gallows,المشنقة,ساحة الإعدام في ساكرامنت
Marketplace,السوق,ساحة التجارة وسط ساكرامنت
Crucible Atrium,بهو البوتقة,المدخل الرئيسي لبوتقة السيريم
