"key","source","target"
"readableLore.Inscriptions.bilsgard1Text","The Founder of Our City
The Father of Our Future

<i>""Let this slab of useless rock give life to new generations. Let faith in ourselves be our sacrament.""</i>","مؤسس مدينتنا
أبو مستقبلنا

<i>""فلتبث هذه الصخرة العديمة النفع الحياة في أجيال جديدة. وليكن إيماننا بأنفسنا هو ساكرامنتنا.""</i>"
"readableLore.Inscriptions.bilsgard2Text","Across the Waves He Sailed
Onto Barren Shores He Stepped
Through the Haze of Wastes He Saw
Into History He Leapt","عبر الأمواج أبحر
وعلى الشواطئ القفار خطا
ومن خلال ضباب القفار رأى
وإلى قلب التاريخ وثب"
"readableLore.Inscriptions.bilsgard3Text","<i><nobr>O Hero,</nobr>
<nobr>O Breaker of the Way!</nobr>
<nobr>Where no ship had sailed, no Noble foot set</nobr>
<nobr>Since the days of the Great Plague</nobr>
<nobr>He brought Life, and Light</nobr>
<nobr>And built this city.</nobr>

<nobr>O Father,</nobr>
<nobr>O Child of the Embrace,</nobr>
<nobr>Through these cobblestones and flags</nobr>
<nobr>Plowed from earth and bone</nobr>
<nobr>He brought Order to Heresy</nobr>
<nobr>And built this city</nobr>.</i>","<i><nobr>يا أيها البطل،</nobr>
<nobr>يا قاطع السبيل وممهده!</nobr>
<nobr>حيث لم تبحر سفينة، ولم تطأ قدم نبيل</nobr>
<nobr>منذ أيام الوباء العظيم</nobr>
<nobr>جلب الحياة، والنور</nobr>
<nobr>وبنى هذه المدينة.</nobr>

<nobr>يا أيها الأب،</nobr>
<nobr>يا ابن الحِضن،</nobr>
<nobr>عبر هذه الحجارة المرصوفة والرايات</nobr>
<nobr>المحروثة من التراب والعظام</nobr>
<nobr>أخضع الهرطقة للنظام</nobr>
<nobr>وبنى هذه المدينة</nobr>.</i>"
"readableLore.Inscriptions.bilsgard4Text","Kafron Bilsgard, Founder of Sacrament

<i>In your Eyes the stones of these streets
In your Hands the future of Sacra
In your Heart the lives of its people</i>","كافرون بيلسغارد، مؤسس ساكرامنت

<i>في عينيك حجارة هذه الشوارع
وفي يديك مستقبل ساكرا
وفي قلبك حيوات أهلها</i>"
"readableLore.Inscriptions.cerimChamberStatue","<align=""center""><i><nobr>let the Gate stand as sentinel</nobr>
 
<nobr>open when the world is in chorus</nobr>

<nobr>closed when it cries out in torment</nobr>

this is the will of the Sayer</i></nobr>","<align=""center""><i><nobr>لتنتصب البوابة حارساً ساهراً</nobr>
 
<nobr>تُفتح حين يتآلف العالم في نغم واحد</nobr>

<nobr>وتوصد حين يصرخ العالم في عذاب</nobr>

هذه هي إرادة الناطقة</i></nobr>"
"readableLore.Inscriptions.cerimCrucibleEchoKnightWarning","<align=""center""><i><nobr>we remember the chosen few -</nobr>
<nobr> Cyvion, and his fiercest Unspoken </nobr>
<nobr>who fought these trials </nobr>
<nobr>through wrath and silenc--</nobr>




<nobr>--rever the tomb</nobr>
<nobr>of the Echo Knights</nobr>","<align=""center""><i><nobr>نذكر القلة المختارة -</nobr>
<nobr> سيفيون، وأشجع صامتيه </nobr>
<nobr>الذين خاضوا هذه المحن </nobr>
<nobr>بالغضب والصمـ--</nobr>




<nobr>--قدّسوا ضريح</nobr>
<nobr>فرسان الصدى</nobr>"
"readableLore.Inscriptions.dashaForsaken1Text","<align=""center"">The Forsaken

unto her
we spare no word
cast no eye
give no prayer","<align=""center"">المهجورة

إليها
لا نبذل كلمة
ولا نلقي نظرة
ولا نرفع صلاة"
"readableLore.Inscriptions.dashaMaker1Text","<align=""center"">Learned Maker

he shapes the home
the family
the law
the way","<align=""center"">الصانع الحكيم

يصوغ الديار
والعائلة
والشريعة
والسبيل"
"readableLore.Inscriptions.dashaMother1Text","<align=""center"">Sacred Mother

she carries the earth
the harvest
the heart
the dawn","<align=""center"">الأم المقدسة

تحمل الأرض
والحصاد
والفؤاد
والفجر"
"readableLore.Inscriptions.dashaSeeker1Text","<align=""center"">Restless Seeker

he strives for growth
for vision
for valor
for more","<align=""center"">الساعي الدؤوب

يتوق للنماء
والرؤيا
والبسالة
وللمزيد"
"readableLore.Inscriptions.mountainGateText","<align=""center""><i><nobr>open in --       peace an--</nobr>
<nobr>closed -- </nobr>
<nobr>days of sufferi --</nobr> 
<nobr>whispe--    of the Sayer -- </nobr>
<nobr>from her -- chambe -- </nobr>
<nobr>to the west</i></nobr>","<align=""center""><i><nobr>تُفتح في --       سلام و--</nobr>
<nobr>تُوصد -- </nobr>
<nobr>أيام المعانا --</nobr> 
<nobr>همسا--    الناطقة -- </nobr>
<nobr>من مخد--    عها -- </nobr>
<nobr>إلى الغرب</i></nobr>"
