"key","source","target"
"entities.crafting.craftingTables.alchemyTable.alchemyTableData.alchemyTableGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Alchemy Table</color>.","اضغط على [interact] لاستخدام <color=#F2E6BD>طاولة الخيمياء</color>."
"entities.crafting.craftingTables.anvil.anvilData.anvilGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Anvil</color>.","اضغط على [interact] لاستخدام <color=#F2E6BD>السندان</color>."
"entities.crafting.craftingTables.artificerTable.name","Artificer Table","طاولة الحرفي"
"entities.crafting.craftingTables.scribeTable.scribeTableData.scribeTableGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Scribe Table</color>.","اضغط على [interact] لاستخدام <color=#F2E6BD>طاولة النَسّاخ</color>."
"entities.crafting.craftingTables.sewingTable.sewingTableData.sewingTableGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Sewing Table</color>.","اضغط على [interact] لاستخدام <color=#F2E6BD>طاولة الخياطة</color>."
"entities.crafting.craftingTables.stove.stoveData.stoveGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Stove</color>.","اضغط على [interact] لاستخدام <color=#F2E6BD>الموقد</color>."
"entities.crafting.craftingTables.workbench.workbenchData.workBenchGeneralInteractibleData.assetInteractionHintRef","Press [interact] to use the <color=#F2E6BD>Workbench</color>.","اضغط على [interact] لاستخدام <color=#F2E6BD>طاولة العمل</color>."
"entities.crafting.refineries.furnace.tier1VendorFurnaceData.assetHintTextRecordRef","Press [interact] to <color=#F2E6BD>use the furnace</color>.","اضغط على [interact] <color=#F2E6BD>لاستخدام الفرن</color>."
"entities.crafting.refineries.furnace.tier1VendorFurnaceData.assetRefineryNameRecordRef","Furnace","الفرن"
"entities.crafting.refineries.sawmill.tier1VendorSawmillData.assetHintTextRecordRef","Press [interact] to use the <color=#F2E6BD>Sawmill</color>.","اضغط على [interact] لاستخدام <color=#F2E6BD>المَنشَرَة</color>."
"entities.crafting.refineries.sawmill.tier1VendorSawmillData.assetRefineryNameRecordRef","Sawmill","المَنشَرَة"
"entities.crafting.refineries.spinningWheel.tier1VendorSpinningWheelData.assetHintTextRecordRef","Press [interact] to use the <color=#F2E6BD>Spinning Wheel</color>.","اضغط على [interact] لاستخدام <color=#F2E6BD>عَجَلة الغَزْل</color>."
"entities.crafting.refineries.spinningWheel.tier1VendorSpinningWheelData.assetRefineryNameRecordRef","Spinning Wheel","عَجَلة الغَزْل"
"entities.crafting.refineries.tanningRack.tier1VendorTanningRackData.assetHintTextRecordRef","Press [interact] to use the <color=#F2E6BD>Tanning Rack</color>.","اضغط على [interact] لاستخدام <color=#F2E6BD>منشر الدباغة</color>."
"entities.crafting.refineries.tanningRack.tier1VendorTanningRackData.assetRefineryNameRecordRef","Tanning Rack","منشر الدباغة"
"entities.hero.beingResurrectedHeroHint","<style=""Highlight"">(PLAYER) is resurrecting</style> you.","<style=""Highlight"">يقوم (PLAYER) بإنعاشك</style>."
"entities.hero.interactionHint","Press [interact] to <color=#F2E6BD>interact with (PLAYER)</color>.","اضغط على [interact] <color=#F2E6BD>للتفاعل مع (PLAYER)</color>."
"entities.hero.resurrectHeroHint","Hold [interact] to <color=#F2E6BD>resurrect (PLAYER)</color>.","اضغط مطولاً على [interact] <color=#F2E6BD>لإنعاش (PLAYER)</color>."
"entities.hero.resurrectHeroHintShort","Resurrect","إنعاش"
"entities.interactives.bossBattle.bossGateData.assetCanCrossHintRecordRef","Press [interact] to <color=#F2E6BD>traverse the fog</color>.","اضغط على [interact] <color=#F2E6BD>لاجتياز الضباب</color>."
"entities.interactives.bountyBoard.bountyBoardInteractable.assetInteractionHintRef","Press [interact] to  read the <color=#F2E6BD>Bounty Board</color>.","اضغط على [interact] <color=#F2E6BD>لقراءة لوحة المكافآت</color>."
"entities.interactives.chests.chest.chestData.assetGrabHintTextRecordRef","Press [interact] to <color=#F2E6BD>inspect the chest</color>.","اضغط على [interact] <color=#F2E6BD>لتفحص الصندوق</color>."
"entities.interactives.chests.chest.chestData.assetHintTextRecordRef","Press [interact] to <color=#F2E6BD>open the chest</color>.","اضغط على [interact] <color=#F2E6BD>لفتح الصندوق</color>."
"entities.interactives.chests.chest.communityChestData.assetContainerNameRef","Community Chest","صندوق المجتمع"
"entities.interactives.chests.chest.communityChestData.assetUseHintRecordRef","Press [interact] to <color=#F2E6BD>open the community chest</color>.","اضغط على [interact] <color=#F2E6BD>لفتح صندوق المجتمع</color>."
"entities.interactives.chests.chest.droppedItemBagData.assetCannotInteractHintRef","Cannot open bag, <color=#F2E6BD>it belongs to someone else</color>.","لا يمكن فتح الحقيبة، <color=#F2E6BD>فهي تخص شخصاً آخر</color>."
"entities.interactives.chests.chest.droppedItemBagData.assetInteractHintRef","Press [interact] to <color=#F2E6BD>open your item bag</color>.","اضغط على [interact] <color=#F2E6BD>لفتح حقيبة أغراضك</color>."
"entities.interactives.chests.dynamicChests.shinyDynamicData.assetHintTextRecordRef","Press [interact] to <color=#F2E6BD>collect loot</color>.","اضغط على [interact] <color=#F2E6BD>لجمع الغنائم</color>."
"entities.interactives.discoverableNotes.interactionHint","Press [interact] to <color=#F2E6BD>Read Note </color>.","اضغط على [interact] <color=#F2E6BD>لقراءة الملاحظة</color>."
"entities.interactives.discoverableNotes.name","Note","ملاحظة"
"entities.interactives.doors.bridgeData.assetInteractionHintRecordRef","Press [interact] to <color=#F2E6BD>kick down the bridge</color>.","اضغط على [interact] <color=#F2E6BD>لركل الجسر لأسفل</color>."
"entities.interactives.doors.doorData.assetInteractionHintRecordRef","Press [interact] to <color=#F2E6BD>open the door</color>.","اضغط على [interact] <color=#F2E6BD>لفتح الباب</color>."
"entities.interactives.doors.kickdownStatueData.assetInteractionHintRecordRef","Press [interact] to <color=#F2E6BD>kick down the statue</color>.","اضغط على [interact] <color=#F2E6BD>لركل التمثال لأسفل</color>."
"entities.interactives.fireplaces.fireplaceData.assetEnemiesNearbyHintRecordRef","Can't <color=orange>rest at the fire pit. Enemies</color> are nearby.","لا يمكنك <color=orange>الاستراحة عند موقد النار. الأعداء</color> قريبون."
"entities.interactives.fireplaces.fireplaceData.assetInteractionHintRecordRef","Press [interact] to <color=#F2E6BD>cook at the fire pit</color>.","اضغط على [interact] <color=#F2E6BD>للطهي عند موقد النار</color>."
"entities.interactives.furniture.chairs.chairData.assetHintRecordRef","Press [interact] to <color=#F2E6BD>sit</color>.","اضغط على [interact] <color=#F2E6BD>للجلوس</color>."
"entities.interactives.generalInteractives.cerimWhisperData.assetInteractionHintActivatedRecordRef","Press [interact] to <color=#F2E6BD>channel the Cerim Whisper</color>.","اضغط على [interact] <color=#F2E6BD>لتوجيه همس السيريم</color>."
"entities.interactives.generalInteractives.chooseHelmetRewardInteractableA.assetInteractionHintRef","Press [interact] to <color=#F2E6BD>Choose Captain's Helmet </color>.","اضغط على [interact] <color=#F2E6BD>لاختيار خوذة القبطان</color>."
"entities.interactives.generalInteractives.chooseHelmetRewardInteractableB.assetInteractionHintRef","Press [interact] to <color=#F2E6BD>Choose Cleric's Helmet </color>.","اضغط على [interact] <color=#F2E6BD>لاختيار خوذة رجل الدين</color>."
