"key","source","target"
"cinematics.cerimDream.interactionHint","Press [interact] to <color=#F2E6BD>go to sleep</color>.","اضغط على [interact] <color=#F2E6BD>للخلود إلى النوم</color>."
"cinematics.cerimDream.shortInteractionHint","Go to sleep","الخلود إلى النوم"
"cinematics.crucible.SeneschalIntro.SeneschalIntroLine1","What creeps above…","ما الذي يدب في الأعالي..."
"cinematics.crucible.SeneschalIntro.SeneschalIntroLine2","Is it lost? Left behind? ","أهو تائه؟ أم تُرك خلف الركب؟"
"cinematics.crucible.SeneschalIntro.SeneschalIntroLine3","Tired of drawing breath?","أم سئم تنفس الهواء؟"
"cinematics.crucible.SeneschalIntro.SeneschalIntroLine4","A Quiet One.","أحد الصامتين."
"cinematics.crucible.SeneschalIntro.SeneschalIntroLine5","It's been so long since the last. ","مضى وقت طويل منذ آخرهم."
"cinematics.crucible.SeneschalIntro.SeneschalIntroLine6","Let us see what it can do. ","فلنر ما يمكنه فعله."
"cinematics.inquisitionArrival.inquisitionArrivalLine1","ROAN: They have come, master! From across the sea...","روان: لقد أتوا يا سيدي! من وراء البحر..."
"cinematics.inquisitionArrival.inquisitionArrivalLine10","SELINE: My Inquisition is here as an act of mercy, Baron Winnick. There is an unholy presence 
on this island. I have come on behalf of King Magnus, who sent me —","سيلين: وجود محاكم التفتيش التابعة لي هنا هو عمل من أعمال الرحمة، أيها البارون وينيك. ثمة دنس غير مقدس على هذه الجزيرة. لقد جئت نيابة عن الملك ماغنوس، الذي أرسلني —"
"cinematics.inquisitionArrival.inquisitionArrivalLine11","WINNICK: A welcome sight though, aren't they? About time Phalen sent reinforcements.","وينيك: رؤيتهم تبعث على الاطمئنان على أي حال، أليس كذلك؟ حان الوقت لترسل فالن تعزيزات."
"cinematics.inquisitionArrival.inquisitionArrivalLine12","ELLSWORTH: — King Magnus? The boy?","إلسورث: — الملك ماغنوس؟ ذلك الفتى؟"
"cinematics.inquisitionArrival.inquisitionArrivalLine13","SELINE: I... forgive me. I thought you had heard.","سيلين: أنا... اعذرني. ظننتك قد علمت بالأمر."
"cinematics.inquisitionArrival.inquisitionArrivalLine14","SELINE: Your brother, the King... has passed.","سيلين: شقيقك، جلالة الملك... قد توفي."
"cinematics.inquisitionArrival.inquisitionArrivalLine15","ELLSWORTH: How long?","إلسورث: منذ متى؟"
"cinematics.inquisitionArrival.inquisitionArrivalLine16","SELINE: It will be a week tomorrow.","سيلين: سيمضي أسبوع غداً."
"cinematics.inquisitionArrival.inquisitionArrivalLine17","SELINE: You should return to Phalen, Governor. Your nephew has 
extended his hand. He invites you to rejoin the family.","سيلين: يجدر بك العودة إلى فالن أيها الحاكم. لقد مد ابن أخيك يده إليك، ويدعوك للعودة إلى كنف العائلة."
"cinematics.inquisitionArrival.inquisitionArrivalLine18","ELLSWORTH: Thank you, Madrigal. But Sacra is my home.","إلسورث: شكراً لكِ أيتها المادريغال. لكن ساكرا هي وطني."
"cinematics.inquisitionArrival.inquisitionArrivalLine19","WINNICK: Fort Reach? Sacrament’s a bit out of your way then, isn’t it?","وينيك: حصن ريتش؟ إذاً فساكرامنت بعيدة عن وجهتكم قليلاً، أليس كذلك؟"
"cinematics.inquisitionArrival.inquisitionArrivalLine2","ROAN: It’s... an honor to meet you. I’ve only ever read the ancient texts about your kind.","روان: إنه... لشرف لي أن ألتقي بك. لم أقرأ عن أمثالكم إلا في النصوص القديمة."
"cinematics.inquisitionArrival.inquisitionArrivalLine20","SELINE: Sacra will be in capable hands. My Inquisition have quartered ourselves in Fort Reach, 
and will remain for as long as it takes to heal this island.","سيلين: ستكون ساكرا في أيدٍ أمينة. لقد استقرت محاكم التفتيش التابعة لي في حصن ريتش، وسنبقى للمدة التي يتطلبها شفاء هذه الجزيرة."
"cinematics.inquisitionArrival.inquisitionArrivalLine21","SELINE: My outfit encountered a group of raiders as we came ashore on your coast. 
We sent all of them to rejoin God... save one.","سيلين: واجهت فرقتي مجموعة من المغيرين حين نزلنا على ساحلكم. وأرسلناهم جميعاً ليعودوا إلى كنف إلههم... باستثناء واحدة."
"cinematics.inquisitionArrival.inquisitionArrivalLine22","SELINE: I thought she might be of particular interest to you.","سيلين: ظننت أنها قد تحظى باهتمام خاص منك."
"cinematics.inquisitionArrival.inquisitionArrivalLine23","SELINE: We could have left her body by the side of the road, with the other animals.","سيلين: كان بإمكاننا ترك جثتها على قارعة الطريق، مع بقية الحيوانات."
"cinematics.inquisitionArrival.inquisitionArrivalLine24","SELINE: Consider this an offering of goodwill from the Church.","سيلين: اعتبر هذا بادرة حسن نية من الكنيسة."
"cinematics.inquisitionArrival.inquisitionArrivalLine25","ODESSA: Where was the Church when our people were sick and starving? 
We’re done begging for scraps. We take what we need.","أوديسا: أين كانت الكنيسة حين كان شعبنا يتضور جوعاً ويموت مرضاً؟ كفانا تسولاً للفتات. نحن نأخذ ما نحتاجه بالقوة."
"cinematics.inquisitionArrival.inquisitionArrivalLine26","ELLSWORTH: Odessa. Don’t.","إلسورث: أوديسا. إياكِ."
"cinematics.inquisitionArrival.inquisitionArrivalLine27","SELINE: Leave her. I’m sure the governor can properly discipline his own daughter.
At least as well as he governs his city...","سيلين: دعوها وشأنها. أنا على يقين أن الحاكم قادر على تأديب ابنته كما ينبغي. على الأقل بالكفاءة نفسها التي يحكم بها مدينته..."
"cinematics.inquisitionArrival.inquisitionArrivalLine28","ELLSWORTH: My apologies, Madrigal. It’s.. She does not stand for Sacrament.","إلسورث: أعتذر منكِ أيتها المادريغال. إنها... هي لا تمثل ساكرامنت."
"cinematics.inquisitionArrival.inquisitionArrivalLine29","ODESSA: Damn right I don't.","أوديسا: بكل تأكيد، أنا لا أمثلها!"
"cinematics.inquisitionArrival.inquisitionArrivalLine3","WATCHER: The Pestilence... it festers... Everything it touches...","المراقب: الوباء... يستشري... كل ما يمسه..."
"cinematics.inquisitionArrival.inquisitionArrivalLine30","ELLSWORTH: Guards! Take her away.","إلسورث: أيها الحراس! خذوها من هنا."
"cinematics.inquisitionArrival.inquisitionArrivalLine31","WINNICK: This way, Risen! ...I should have never taught you that little move.","وينيك: من هنا أيتها الناهضة! ...ما كان عليّ أبدًا تعليمكِ تلك الحركة."
