key,source,target
classes.archerDescription,Mocked description for Archer.,
classes.archerName,Archer,
classes.asceticDescription,A spiritual martial artist dual-wielding nunchucks with fervent skill.,
classes.asceticName,Ascetic,
classes.assassinDescription,"Stealth, backstabs, off-hand empty.",
classes.assassinName,Assassin,
classes.barbarianDescription,"Ferocious warriors with raw physicality, wielding huge clubs to smash through enemy lines.",
classes.barbarianName,Barbarian,
classes.berserkerDescription,Dominant warriors wielding massive greataxes for devastating sweeps. Wades directly into combat and stays there. Benefits from staying in combat and trading blows with enemies.,
classes.berserkerName,Berserker,
classes.blademasterDescription,A devout swordsman wielding curved greatswords with elegant devastation.,
classes.blademasterName,Blademaster,
classes.bruteDescription,A brawler that thrives on dodges and aggressive stamina use. Best suited for 1H clubs.,
classes.bruteName,Brute,
classes.clericDescription,Support-focused holy warriors who heal allies and smite foes with divine magic.,
classes.clericName,Cleric,
classes.contortionistDescription,Mocked description for Contortionist.,
classes.contortionistName,Contortionist,
classes.crusaderDescription,A divine warrior wielding massive greathammers to smite evil.,
classes.crusaderName,Crusader,
classes.cutthroatDescription,Agile and flamboyant swordsmen relying on speed and precision.,
classes.cutthroatName,Cutthroat,
classes.dragoonDescription,Lithe spearmen harnessing faith-based leaps to pierce defenses.,
classes.dragoonName,Dragoon,
classes.exorcistDescription,Mocked description for Exorcist.,
classes.exorcistName,Exorcist,
classes.fencerDescription,"Elegant duelists adept at swift, precise thrusts and agile footwork.",
classes.fencerName,Fencer,
classes.flagellantDescription,Mocked description for Flagellant.,
classes.flagellantName,Flagellant,
classes.frostMageDescription,"A cold-themed mage who freezes, chills, and shatters enemies.",
classes.frostMageName,Frost Mage,
classes.guardianDescription,"Balanced fighters wielding straight swords, equally adept with Strength and Dexterity.",
classes.guardianName,Guardian,
classes.harbingerDescription,"A dark harbinger wielding scythes, merging necrotic spells with unholy fervor.",
classes.harbingerName,Harbinger,
classes.knightDescription,A stalwart champion swinging massive two-handed greatswords.,
classes.knightName,Knight,
classes.marauderDescription,A warrior type class that focuses on in-your-face combos. Trading blows is a plus as it increases damage capabilities. No nonsense axe combos.,
classes.marauderName,Marauder,
classes.marksmanDescription,Mocked description for Marksman.,
classes.marksmanName,Marksman,
classes.monkDescription,Martial artist mixing stamina and focus for powerful spiritual strikes.,
classes.monkName,Monk,
classes.mysticDescription,Mocked description for Mystic.,
classes.mysticName,Mystic,
classes.necromancerDescription,Mocked description for Necromancer.,
classes.necromancerName,Necromancer,
classes.noneDescription,Mocked description for None.,
classes.noneName,None,
classes.paladinDescription,Holy hammer fighter/guardian.,
classes.paladinName,Paladin,
classes.pilgrimDescription,Mocked description for Pilgrim.,
classes.pilgrimName,Pilgrim,
classes.plaguebearerDescription,A diseased spellcaster spreading rot and plague across the battlefield.,
classes.plaguebearerName,Plaguebearer,
classes.pyromancerDescription,"A mage class centered on fire—setting enemies ablaze, stacking burns, and causing explosions.",
classes.pyromancerName,Pyromancer,
classes.rogueDescription,"Fast, stamina-heavy dual-wielder that thrives on hit-and-run tactics.",
classes.rogueName,Rogue,
classes.sentinelDescription,Polearm specialists who combine extended reach with dexterous sweeps to control the battlefield.,
classes.sentinelName,Sentinel,
classes.stormBringerDescription,"Lightning-focused mage—fast, volatile combat with chaining effects.",
classes.stormBringerName,Storm Bringer,
classes.templarDescription,Mocked description for Templar.,
classes.templarName,Templar,
classes.tricksterDescription,Mocked description for Trickster.,
classes.tricksterName,Trickster,
classes.viperDescription,A holy exorcist controlling mid-range with whips to purge evil.,
classes.viperName,Viper,
classes.warlordDescription,An honorable warrior wielding two-handed katanas with disciplined technique and mild arcane flair.,
classes.warlordName,Warlord,
classes.witchDescription,Mocked description for Witch.,
classes.witchName,Witch,
classes.wraithDescription,Swift shinobi using ninjutsu illusions and quick slashes.,
classes.wraithName,Wraith,
