Term,Arabic,Description
No Rest for the Wicked,لا راحة للأشرار,اسم اللعبة الرسمي
The Pestilence,الوباء,الطاعون القديم الذي عاد ليصيب الجزيرة ويمسخ البشر
Pestilence,الوباء,المصطلح القصصي الرئيسي للوباء
Cerim,السيريم,جماعة المحاربين الأسطوريين المقدسين (البطل أحدهم)
The Cerim,السيريم,جماعة المحاربين الأسطوريين المقدسين
Isola Sacra,إيسولا ساكرا,الجزيرة المنكوبة التي تجري عليها أحداث اللعبة
Sacrament,ساكرامنت,المدينة الرئيسية والحصن البشري الأخير بالجزيرة
The Inquisition,محاكم التفتيش,المؤسسة الدينية العسكرية القادمة من فالن للتطهير
Inquisition,محاكم التفتيش,محاكم التفتيش التابعة للكنيسة
The Church,الكنيسة,الكنيسة الكبرى الحاكمة روحياً
Church,الكنيسة,الكنيسة الكبرى الحاكمة روحياً
Madrigal,المادريغال,رتبة دينية وقيادية عليا في محاكم التفتيش
The Risen,الناهضون,جماعة المتمردين واللصوص المحاربين بقيادة داراك
Risen,الناهضون,فصيل المتمردين واللصوص
The Torn,الممزقون,المتحولون والمسوخ المشوهون جراء الإصابة بالوباء
Torn,الممزقون,ضحايا الوباء المتحولون لمسوخ
Bolein Knights,فرسان بولين,فرسان مقاطعة بولين المرابطون عند بوابة الجبل
Whisper,همسة ساكرا,نقطة الحفظ والتفتيش والبعث والسفر السريع
Whispers of Sacra,همسات ساكرا,نقاط الحفظ والتفتيش والبعث والسفر السريع
Cerim Crucible,بوتقة السيريم,منطقة التحديات العميقة في العالم السفلي
The Seneschal,الحاجب / الوكيل,حارس وبواب بوتقة السيريم
Seneschal,الحاجب / الوكيل,حارس وبواب بوتقة السيريم
Cerim Ichor,إيكور السيريم,مادة سائلة مقدسة تُستخدم لترقية قدرات السيريم ومخزونه
Fallen Ember,جمر الساقطين,مادة سحرية لترقية العتاد وفتح البوتقة
Fallen Embers,جمر الساقطين,مادة سحرية لترقية العتاد وفتح البوتقة
Realm,العالم / النطاق,نطاق عالم اللعبة الذي ينشئه اللاعب ويتحرك فيه
Madrigal Seline,المادريغال سيلين,قائدة محاكم التفتيش المبعوثة من الكنيسة
Speaker Lucian,المتحدث لوسيان,المساعد المتشدد في محاكم التفتيش
Governor Ellsworth,الحاكم إلسورث,حاكم مدينة ساكرامنت وشقيق الملك الراحل
King Harol,الملك هارول,الملك المتوفى مؤخراً
King Magnus,الملك ماغنوس,الملك الشاب المغرور الذي تولى العرش بعد أبيه
Odessa,أوديسا,ابنة الحاكم إلسورث، تمردت وانضمت للناهضين
Baron Winnick,البارون وينيك,القائد العسكري لساكرامنت والساعد الأيمن لإلسورث
Darak,داراك,زعيم حرب متمردي الناهضين
Rattigan,راتيغان,أحد أفراد الناهضين المسجون في أقفاص ساكرامنت
The Watcher,المراقب,العجوز الحكيم في برج الحمام (The Rookery)
Roan,روان,خادم ومساعد المراقب
Eleanor,إليانور,الساحرة وصانعة الرونات في ساكرامنت
Maker Danos,الصانع دانوس,البنّاء المسؤول عن مشاريع وتوسعة المدينة
Fillmore,فيلمور,الحداد المسؤول عن صهر الأسلحة والدروع وإصلاحها
Gordon,غوردون,الطاهي وبائع المؤن والوجبات
Mira & Meri,ميرا وميري,الأختان الخياطتان في متجر الأقمشة والدروع الخفيفة
Whittacker,ويتكر,النجار والحطاب المسؤول عن الأثاث والخشب
Finley,فينلي,تاجر السوق السوداء المحبوس في البرج
Eileen,إيلين,باحثة عن أخيها المفقود (مهمة جانبية)
Primus Bainbridge,القائد بينبريدج,قائد فرسان بولين عند بوابة الجبل
Mariner's Keep,معقل البحارة,الحصن الساحلي الذي تبدأ فيه المغامرة بعد الغرق
Orban Glades,مروج أوربان,الغابات والمروج المحيطة بساكرامنت
Ship Graveyard,مقبرة السفن,شاطئ السفن المحطمة
Beggar's Alley,زقاق المتسولين,الحي الفقير والمعدم داخل ساكرامنت
The Black Trench,الخندق الأسود,مجاري وأنفاق الصرف العميقة تحت المدينة
Mountain Gate,بوابة الجبل,البوابة الشمالية الضخمة الفاصلة بين المناطق
Nameless Pass,الممر المجهول,الممر الجبلي الخطر
Bilsgard's Quarry,مقلع بيلسغارد,منطقة استخراج الأحجار والمناجم
Phalen,فالن,عاصمة المملكة الكبرى خارج الجزيرة
Phalen Cathedral,كاتدرائية فالن,الكاتدرائية المقدسة
