"key","source","target"
"boons.common.cold.coldShock.Description","Gain [StatColdDamage] [!sIce]Ice[/s] Infusion","اكتسب [StatColdDamage] من الشحن العنصري [!sIce]للجليد[/s]"
"boons.common.cold.coldShock.Name","Cold Shock","صدمة باردة"
"boons.common.critical.keenEdge.Description","[StatCritical] <b>Critical Hit Chance</b> increased by {0} when <b>Health drops</b> below {1}","زيادة [StatCritical] <b>فرصة الضربة الحرجة</b> بمقدار {0} عندما <b>تهبط الصحة</b> إلى ما دون {1}"
"boons.common.critical.keenEdge.Name","Keen Edge","حد قاطع"
"boons.common.critical.lethalHope.Description","[StatCritical] <b>Critical Hit Chance</b> increased by {0}","زيادة [StatCritical] <b>فرصة الضربة الحرجة</b> بمقدار {0}"
"boons.common.critical.lethalHope.Name","Lethal Hope","أمل فتاك"
"boons.common.critical.sayersWrath.Description","[StatCritical] <b>Critical Damage</b> increased by {0}","زيادة [StatCritical] <b>الضرر الحرج</b> بمقدار {0}"
"boons.common.critical.sayersWrath.Name","Sayer's Wrath","غضب القائل"
"boons.common.critical.vitalLash.Description","[StatCritical] <b>Critical Damage</b> increased by {0}","زيادة [StatCritical] <b>الضرر الحرج</b> بمقدار {0}"
"boons.common.critical.vitalLash.Name","Vital Lash","ضربة حيوية"
"boons.common.damage.commonKnowledge.Description","[StatDamage] <b>Damage</b> increased by {0} for each <b>Common Echo</b>","زيادة [StatDamage] <b>الضرر</b> بمقدار {0} مقابل كل <b>صدى شائع</b>"
"boons.common.damage.commonKnowledge.Name","Common Knowledge","معرفة شائعة"
"boons.common.damage.deathsSpite.Description","Deal {0} Explosion [StatFireDamage] [!sFire]Damage[/s] on Kill","إلحاق {0} انفجار [StatFireDamage] [!sFire]ضرر[/s] عند القتل"
"boons.common.damage.deathsSpite.Name","Death's Spite","ضغينة الموت"
"boons.common.damage.doubleStrike.Description","Deal <b>Damage</b> twice with {0} chance","إلحاق <b>الضرر</b> مرتين بفرصة {0}"
"boons.common.damage.doubleStrike.Name","Double Strike","ضربة مزدوجة"
"boons.common.damage.exoticKnowledge.Description","[StatDamage] <b>Damage</b> increased by {0} for each <b>Unique Echo</b>","زيادة [StatDamage] <b>الضرر</b> بمقدار {0} مقابل كل <b>صدى فريد</b>"
"boons.common.damage.exoticKnowledge.Name","Exotic Knowledge","معرفة فريدة"
"boons.common.damage.feveredAttack.Description","[StatDamage] <b>Damage</b> increased by {0}","زيادة [StatDamage] <b>الضرر</b> بمقدار {0}"
"boons.common.damage.feveredAttack.Name","Fevered Attack","هجوم محموم"
"boons.common.damage.forbiddenKnowledge.Description","[StatDamage] <b>Damage</b> increased by {0} for each <b>Plagued Echo</b>, but take {1} more [StatDamageTaken] <b>Damage</b>","زيادة [StatDamage] <b>الضرر</b> بمقدار {0} مقابل كل <b>صدى موبوء</b>، ولكنك تتلقى {1} أكثر من [StatDamageTaken] <b>الضرر</b>"
"boons.common.damage.forbiddenKnowledge.Name","Forbidden Knowledge","معرفة محرمة"
"boons.common.damage.momentum.Description","[StatDamage] <b>Damage</b> increases by {0} on Kill up to {1} times","زيادة [StatDamage] <b>الضرر</b> بمقدار {0} عند القتل لما يصل إلى {1} مرات"
"boons.common.damage.momentum.Name","Momentum","زخم"
"boons.common.damage.rareKnowledge.Description","[StatDamage] <b>Damage</b> increased by {0} for each <b>Rare Echo</b>","زيادة [StatDamage] <b>الضرر</b> بمقدار {0} مقابل كل <b>صدى نادر</b>"
"boons.common.damage.rareKnowledge.Name","Rare Knowledge","معرفة نادرة"
"boons.common.elemental.elementalSurge.Description","{0} Chance that <b>Elemental Damage</b> gets doubled","فرصة {0} لمضاعفة <b>الضرر العنصري</b>"
"boons.common.elemental.elementalSurge.Name","Elemental Surge","اندفاع عنصري"
"boons.common.elemental.naturesIre.Description","[StatElementalDamage] <b>Elemental Damage</b> increased by {0}","زيادة [StatElementalDamage] <b>الضرر العنصري</b> بمقدار {0}"
"boons.common.elemental.naturesIre.Name","Nature's Ire","سخط الطبيعة"
"boons.common.elemental.primalFlurry.Description","Elemental attacks have a {0} <b>chance to hit an additional target</b>","الهجمات العنصرية تمتلك {0} <b>فرصة لضرب هدف إضافي</b>"
"boons.common.elemental.primalFlurry.Name","Primal Flurry","هيجان بدائي"
"boons.common.elemental.thornedPrecision.Description","<b>Elemental Damage</b> increased by {0} for each consecutive hit in a combo","زيادة <b>الضرر العنصري</b> بمقدار {0} مقابل كل ضربة متتالية في الكومبو"
"boons.common.elemental.thornedPrecision.Name","Thorned Precision","دقة شوكية"
"boons.common.equipment.agileFighter.Description","[StatMovementSpeed] <b>Movement Speed</b> and [StatAttackSpeed] <b>Attack Speed</b> increased by {0}","زيادة [StatMovementSpeed] <b>سرعة الحركة</b> و[StatAttackSpeed] <b>سرعة الهجوم</b> بمقدار {0}"
"boons.common.equipment.agileFighter.Name","Agile Fighter","مقاتل رشيق"
"boons.common.equipment.durableMaterials.Description","<b>Durability</b> of all equipment increased by {0}","زيادة <b>متانة</b> جميع المعدات بمقدار {0}"
"boons.common.equipment.durableMaterials.Name","Durable Materials","مواد متينة"
"boons.common.equipment.hardenedGear.Description","[StatDamageTaken] <b>Damage Resistance</b> increased by {0}","زيادة [StatDamageTaken] <b>مقاومة الضرر</b> بمقدار {0}"
"boons.common.equipment.hardenedGear.Name","Hardened Gear","عتاد مقوى"
"boons.common.equipment.lightweightGear.Description","[StatWeight] <b>Weight</b> of all equipment decreased by {0}","تقليل [StatWeight] <b>وزن</b> جميع المعدات بمقدار {0}"
"boons.common.equipment.lightweightGear.Name","Lightweight Gear","عتاد خفيف الوزن"
"boons.common.equipment.steadfastStance.Description","[StatPoiseDefense] <b>Poise Defense</b> increased by {0}","زيادة [StatPoiseDefense] <b>دفاع التوازن</b> بمقدار {0}"
"boons.common.equipment.steadfastStance.Name","Steadfast Stance","وقفة راسخة"
"boons.common.fire.fireBurst.Description","{0} <b>Chance</b> to deal <b>Moderate</b> [StatFireDamage] [!sFire]Fire Damage[/s] around the enemy on Damage Dealt","<b>فرصة</b> {0} لإلحاق [StatFireDamage] [!sFire]ضرر ناري[/s] <b>متوسط</b> حول العدو عند إلحاق الضرر"
"boons.common.fire.fireBurst.Name","Fire Burst","انفجار ناري"
"boons.common.fire.firestarter.Description","Deal <b>Minor</b> [StatFireDamage] [!sFire]Fire Damage[/s] around you over time","إلحاق <b>ضرر ناري</b> [StatFireDamage] [!sFire]طفيف[/s] حولك بمرور الوقت"
"boons.common.fire.firestarter.Name","Firestarter","مشعل النار"
"boons.common.fire.heatShock.Description","Gain [StatFireDamage] [!sFire]Fire[/s] Infusion","اكتسب [StatFireDamage] من الشحن العنصري [!sFire]للنار[/s]"
"boons.common.fire.heatShock.Name","Heat Shock","صدمة حرارية"
"boons.common.focus.burdenOfHate.Description","[StatDamage] <b>Rune Damage</b> increased by {0}, but [StatFocusCost] <b>Focus Cost</b> increased by {1}","زيادة [StatDamage] <b>ضرر الرون</b> بمقدار {0}، ولكن زيادة [StatFocusCost] <b>تكلفة التركيز</b> بمقدار {1}"
"boons.common.focus.burdenOfHate.Name","Burden of Hate","عبء الكراهية"
"boons.common.focus.divineInspiration.Description","[StatFocusGain] <b>Focus Gain</b> increased by {0}","زيادة [StatFocusGain] <b>اكتساب التركيز</b> بمقدار {0}"
"boons.common.focus.divineInspiration.Name","Divine Inspiration","إلهام إلهي"
"boons.common.focus.focusedStrike.Description","[StatDamage] <b>Rune Damage</b> increased by {0}","زيادة [StatDamage] <b>ضرر الرون</b> بمقدار {0}"
"boons.common.focus.focusedStrike.Name","Focused Strike","ضربة مركزة"
"boons.common.focus.quietResolve.Description","[StatMaxFocus] <b>Max Focus</b> increased by {0}","زيادة [StatMaxFocus] <b>الحد الأقصى للتركيز</b> بمقدار {0}"
"boons.common.focus.quietResolve.Name","Quiet Resolve","عزم هادئ"
"boons.common.focus.recklessSpirit.Description","[StatFocusRegen] <b>Regenerate Focus</b>","تجديد [StatFocusRegen] <b>التركيز</b>"
"boons.common.focus.recklessSpirit.Name","Reckless Spirit","روح متهورة"
"boons.common.focus.vileStrength.Description","Gain {0} [StatFocus] <b>Focus</b> on Kill","اكتساب {0} من [StatFocus] <b>التركيز</b> عند القتل"
"boons.common.focus.vileStrength.Name","Vile Strength","قوة خبيثة"
"boons.common.health.cleansingBalm.Description","[StatHealing] <b>Healing</b> increased by {0}","زيادة [StatHealing] <b>الشفاء</b> بمقدار {0}"
"boons.common.health.cleansingBalm.Name","Cleansing Balm","بلسم مطهر"
"boons.common.health.quickFeast.Description","<b>Food Cooldown</b> reduced by {0}","تقليل <b>فترة انتظار الطعام</b> بمقدار {0}"
"boons.common.health.quickFeast.Name","Quick Feast","وليمة سريعة"
"boons.common.health.reapersReward.Description","Gain {0} [StatHealth] <b>Health</b> on Kill or Staggering an enemy","اكتساب {0} من [StatHealth] <b>الصحة</b> عند القتل أو ترنّح عدو"
"boons.common.health.reapersReward.Name","Reaper's Reward","مكافأة الحاصد"
"boons.common.health.sayersBreath.Description","[StatMaxHealth] <b>Max Health</b> increased by {0}","زيادة [StatMaxHealth] <b>الحد الأقصى للصحة</b> بمقدار {0}"
"boons.common.health.sayersBreath.Name","Sayer's Breath","أنفاس القائل"
"boons.common.health.secondWind.Description","<b>Revive</b> once after being killed with {0} [StatHealth] <b>Health</b>","<b>الإنعاش</b> لمرة واحدة بعد الموت مع {0} من [StatHealth] <b>الصحة</b>"
"boons.common.health.secondWind.Name","Second Wind","فرصة ثانية للحياة"
"boons.common.health.whisperedLife.Description","<b>Health regenerates</b> over time","تجديد <b>الصحة</b> بمرور الوقت"
"boons.common.health.whisperedLife.Name","Whispered Life","حياة هامسة"
"boons.common.ice.arcticTouch.Description","{0} <b>Chance</b> to inflict [!sIce]Freeze[/s] to non-boss enemy on Damage Dealt","<b>فرصة</b> {0} لإحداث [!sIce]التجميد[/s] لأي عدو غير زعيم عند إلحاق الضرر"
"boons.common.ice.arcticTouch.Name","Arctic Touch","لمسة قطبية"
"boons.common.ice.frigidAura.Description","Deal <b>Minor</b> [StatColdDamage] [!sIce]Ice Damage[/s] around you over time","إلحاق <b>ضرر جليدي</b> [StatColdDamage] [!sIce]طفيف[/s] حولك بمرور الوقت"
"boons.common.ice.frigidAura.Name","Frigid Aura","هالة قارسة"
"boons.common.ice.frostbite.Description","Increase [StatColdDamage] [!sIce]Freeze Duration[/s] by {0}","زيادة [StatColdDamage] [!sIce]مدة التجميد[/s] بمقدار {0}"
"boons.common.ice.frostbite.Name","Frostbite","لسعة صقيع"
"boons.common.ice.shatter.Description","{0} <b>Chance</b> to deal <b>Massive Damage</b> to [!sIce]Frozen[/s] enemy on Damage Dealt","<b>فرصة</b> {0} لإلحاق <b>ضرر هائل</b> بعدو [!sIce]مجمد[/s] عند إلحاق الضرر"
"boons.common.ice.shatter.Name","Shatter","تحطيم"
"boons.common.lightning.chainLightning.Description","{0} <b>Chance for Lightning to chain to nearby enemies</b>","فرصة {0} <b>لانتقال البرق بين الأعداء القريبين</b>"
"boons.common.lightning.chainLightning.Name","Chain Lightning","سلسلة البرق"
"boons.common.lightning.cracklingAir.Description","{0} <b>Chance</b> to deal <b>Minor</b> [StatLightningDamage] [!sLightning]Lightning Damage[/s] around the enemy on Damage Dealt","<b>فرصة</b> {0} لإلحاق [StatLightningDamage] [!sLightning]ضرر برق[/s] <b>طفيف</b> حول العدو عند إلحاق الضرر"
"boons.common.lightning.cracklingAir.Name","Crackling Air","هواء طقطاق"
"boons.common.lightning.electricShock.Description","Gain [StatLightningDamage] [!sLightning]Lightning[/s] Infusion","اكتسب [StatLightningDamage] من الشحن العنصري [!sLightning]للبرق[/s]"
"boons.common.lightning.electricShock.Name","Electric Shock","صدمة كهربائية"
"boons.common.lightning.staticCharge.Description","Deal <b>Minor</b> [StatLightningDamage] [!sLightning]Lightning Damage[/s] around you over time","إلحاق <b>ضرر برق</b> [StatLightningDamage] [!sLightning]طفيف[/s] حولك بمرور الوقت"
"boons.common.lightning.staticCharge.Name","Static Charge","شحنة ساكنة"
"boons.common.lightning.staticOvercharge.Description","Increase [StatLightningDamage] [!sLightning]Lightning Damage[/s] dealt by <b>Static Charge Echo</b>","زيادة [StatLightningDamage] [!sLightning]ضرر البرق[/s] الناتج عن <b>صدى الشحنة الساكنة</b>"
"boons.common.lightning.staticOvercharge.Name","Static Overcharge","شحن ساكن فائق"
"boons.common.luck.fatefulBlow.Description","{0} <b>Chance</b> to <b>execute</b> non-boss enemy on Damage Dealt","<b>فرصة</b> {0} <b>لإعدام</b> أي عدو غير زعيم عند إلحاق الضرر"
"boons.common.luck.fatefulBlow.Name","Fateful Blow","ضربة مصيرية"
"boons.common.luck.luckyCharm.Description","Gain an additional <b>random Echo</b>","اكتساب <b>صدى عشوائي</b> إضافي"
"boons.common.luck.luckyCharm.Name","Lucky Charm","تميمة الحظ"
"boons.common.plague.contagion.Description","<b>Plague Damage increased</b> by {0}","زيادة <b>ضرر الوباء</b> بمقدار {0}"
"boons.common.plague.contagion.Name","Contagion","عدوى"
"boons.common.plague.creepingPlague.Description","{0} <b>Chance</b> to deal <b>Great</b> [StatPlagueDamage] [!sPlague]Plague Damage[/s] around you on Damage Taken","<b>فرصة</b> {0} لإلحاق [StatPlagueDamage] [!sPlague]ضرر وبائي[/s] <b>كبير</b> حولك عند تلقي الضرر"
"boons.common.plague.creepingPlague.Name","Creeping Plague","وباء زاحف"
"boons.common.plague.plagueShock.Description","Gain [StatPlagueDamage] [!sPlague]Plague[/s] Infusion","اكتسب [StatPlagueDamage] من الشحن العنصري [!sPlague]للوباء[/s]"
"boons.common.plague.plagueShock.Name","Plague Shock","صدمة الوباء"
"boons.common.plague.tornOutbreak.Description","{0} <b>Chance</b> to deal <b>Minor</b> [StatPlagueDamage] [!sPlague]Plague Damage[/s] around the enemy on Damage Dealt","<b>فرصة</b> {0} لإلحاق [StatPlagueDamage] [!sPlague]ضرر وبائي[/s] <b>طفيف</b> حول العدو عند إلحاق الضرر"
"boons.common.plague.tornOutbreak.Name","Torn Outbreak","تفشّي المسوخ"
"boons.common.punishment.ancientBlight.Description","Enemies take {0} more [StatElementalDamageTaken] <b>Elemental Damage</b>","يتلقى الأعداء [StatElementalDamageTaken] {0} أكثر من <b>الضرر العنصري</b>"
"boons.common.punishment.ancientBlight.Name","Ancient Blight","آفة قديمة"
"boons.common.punishment.knightsCharisma.Description","Enemies' <b>Health</b> drains continuously","تستنزف <b>صحة</b> الأعداء بشكل مستمر"
"boons.common.punishment.knightsCharisma.Name","Knight's Charisma","مهابة الفارس"
"boons.common.punishment.sinkingSand.Description","Enemies' [StatMovementSpeed] <b>Movement Speed</b> reduced by {0}","تقليل [StatMovementSpeed] <b>سرعة حركة</b> الأعداء بمقدار {0}"
"boons.common.punishment.sinkingSand.Name","Sinking Sand","رمال متحركة"
"boons.common.punishment.weakeningCurse.Description","Enemies deal {0} less [StatDamage] <b>Damage</b>","يلحق الأعداء [StatDamage] {0} أقل من <b>الضرر</b>"
"boons.common.punishment.weakeningCurse.Name","Weakening Curse","لعنة الإضعاف"
"boons.common.rush.grittedTeeth.Description","[StatStaminaRegen] <b>Stamina Regeneration</b> increased by {0} for the first {1} seconds in a Chamber","زيادة [StatStaminaRegen] <b>تجدد التحمل</b> بمقدار {0} لأول {1} ثوانٍ في الحجرة"
"boons.common.rush.grittedTeeth.Name","Gritted Teeth","صرير الأسنان"
"boons.common.rush.quickStrike.Description","[StatDamage] <b>Damage</b> increased by {1} for the first {0} seconds in a Chamber","زيادة [StatDamage] <b>الضرر</b> بمقدار {1} لأول {0} ثوانٍ في الحجرة"
"boons.common.rush.quickStrike.Name","Quick Strike","ضربة خاطفة"
"boons.common.rush.recklessConfidence.Description","[StatHealthRegen] <b>Regenerate Health</b> for the first {0} seconds in a Chamber","تجديد [StatHealthRegen] <b>الصحة</b> لأول {0} ثوانٍ في الحجرة"
"boons.common.rush.recklessConfidence.Name","Reckless Confidence","ثقة متهورة"
"boons.common.rush.weaponsDrawn.Description","[StatFocusGain] <b>Focus Gain</b> increased by {0} for the first {1} seconds in a Chamber","زيادة [StatFocusGain] <b>اكتساب التركيز</b> بمقدار {0} لأول {1} ثوانٍ في الحجرة"
"boons.common.rush.weaponsDrawn.Name","Weapons Drawn","شحذ السلاح"
"boons.common.stamina.breathOfWind.Description","[StatStaminaRegen] <b>Stamina Regeneration</b> increased by {0}","زيادة [StatStaminaRegen] <b>تجدد التحمل</b> بمقدار {0}"
"boons.common.stamina.breathOfWind.Name","Breath of Wind","نسمة الرياح"
"boons.common.stamina.endurance.Description","[StatStaminaCost] <b>Stamina Cost</b> reduced by {0}","تقليل [StatStaminaCost] <b>تكلفة التحمل</b> بمقدار {0}"
"boons.common.stamina.endurance.Name","Endurance","جلد وتحمل"
"boons.common.stamina.flushOfBattle.Description","<b>Stamina Recovery Speed</b> increased by {0}","زيادة <b>سرعة استعادة التحمل</b> بمقدار {0}"
"boons.common.stamina.flushOfBattle.Name","Flush of Battle","حماسة المعركة"
"boons.common.stamina.leavenedStep.Description","[StatMaxStamina] <b>Max Stamina</b> increased by {0}","زيادة [StatMaxStamina] <b>الحد الأقصى للتحمل</b> بمقدار {0}"
"boons.common.stamina.leavenedStep.Name","Leavened Step","خطوة متخففة"
"boons.common.utility.chosenFate.Description","Skip to the next Chamber","الانتقال مباشرة إلى الحجرة التالية"
"boons.common.utility.chosenFate.Name","Chosen Fate","مصير مختار"
"boons.common.utility.increasedPickupRadius.Description","<b>Pickup Radius</b> increased by {0}","زيادة <b>نطاق التقاط الغنائم</b> بمقدار {0}"
"boons.common.utility.increasedPickupRadius.Name","Increased Pickup Radius","نطاق التقاط متسع"
"boons.common.utility.pendingRespite.Description","The next Chamber will be the <b>Limnus</b>","ستكون الحجرة التالية هي <b>الليمنوس</b>"
"boons.common.utility.pendingRespite.Name","Pending Respite","استراحة مرتقبة"
"boons.common.utility.rejuvenatingRestoration.Description","<b>Durability</b> of all equipped items increased by {0}","زيادة <b>متانة</b> جميع العناصر المجهزة بمقدار {0}"
"boons.common.utility.rejuvenatingRestoration.Name","Rejuvenating Restoration","ترميم مجدد"
