Term,Arabic,Description
Health,الصحة,شريط الحياة الأحمر
Stamina,طاقة الجهد / التحمل,شريط الطاقة الأخضر المستخدم للهجوم والمراوغة
Focus,التركيز,شريط الطاقة الأزرق المستخدم لحركات ورونات القوة
Poise,الصمود / التوازن,مقاومة السقوط والترنح عند تلقي الضربات
Strength,القوة,سمة الأسلحة الثقيلة
Dexterity,البراعة,سمة الأسلحة الخفيفة والسريعة
Intelligence,الذكاء,سمة تعاويذ وعصي السحر
Faith,الإيمان,سمة القدرات والمعجزات المقدسة
Equip Load,حمولة العتاد,وزن الدروع والأسلحة المجهزة وتأثيرها على الحركة
Weight,الوزن,وزن العتاد الكلي
Fast Roll,تدحرج سريع,مراوغة خفيفة وسريعة
Normal Roll,تدحرج عادي,مراوغة متوسطة السرعة
Heavy Roll,تدحرج ثقيل,مراوغة ثقيلة وبطيئة
Armor,الدرع,قيمة الحماية وتقليل الضرر الجسدي
Damage,الضرر,مقدار الإصابة الناتجة عن الهجوم
Attack Speed,سرعة الهجوم,سرعة توجيه الضربات
Critical Chance,فرصة الضربة الحرجة,نسبة احتمالية حدوث ضربة مضاعفة
Critical Damage,ضرر الضربة الحرجة,قيمة الضرر الإضافي للضربة الحرجة
Durability,المتانة,عمر السلاح أو الدرع قبل أن ينكسر
Parry,الصد المتقن (باري),مباغتة الخصم وصده في اللحظة الأخيرة لكسر هجومه
Block,الصد,الدفاع بالترس أو السلاح
Dodge,تفادٍ,حركة الهروب من ضربات الخصم
Roll,تدحرج,حركة الهروب والتفادي السريعة
Backstab,طعنة خلفية,ضربة مباغتة مميتة من ظهر العدو
Stagger,ترنّح,حالة شلل مؤقت تصيب العدو عند كسر صموده
Knockback,دفع للخلف,إرجاع العدو للخلف بقوة الضربة
Runes,الرونات,المهارات السحرية والقتالية الخاصة المركبة على السلاح
Rune Attacks,هجمات الرون,المهارات السحرية والقتالية الخاصة المركبة على السلاح
